path|owner|project|file|language|code|comment|blank
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.cs|DapperLib|Dapper|SqlMapper.cs|C#|2975|766|320
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/ParameterTests.cs|DapperLib|Dapper|ParameterTests.cs|C#|1476|35|234
./src/_00/output/C#/DapperLib~Dapper/benchmarks/Dapper.Tests.Performance/PetaPoco/PetaPoco.cs|DapperLib|Dapper|PetaPoco.cs|C#|1136|121|189
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/MiscTests.cs|DapperLib|Dapper|MiscTests.cs|C#|1127|45|190
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/AsyncTests.cs|DapperLib|Dapper|AsyncTests.cs|C#|875|7|117
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/TypeHandlerTests.cs|DapperLib|Dapper|TypeHandlerTests.cs|C#|740|13|126
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.Async.cs|DapperLib|Dapper|SqlMapper.Async.cs|C#|619|638|87
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/MultiMapTests.cs|DapperLib|Dapper|MultiMapTests.cs|C#|588|10|89
./src/_00/output/C#/DapperLib~Dapper/Readme.md|DapperLib|Dapper|Readme.md|Markdown|374|0|102
./src/_00/output/C#/DapperLib~Dapper/benchmarks/Dapper.Tests.Performance/Linq2Sql/DataClasses.designer.cs|DapperLib|Dapper|DataClasses.designer.cs|C# Designer|370|9|44
./src/_00/output/C#/DapperLib~Dapper/Dapper/DynamicParameters.cs|DapperLib|Dapper|DynamicParameters.cs|C#|366|81|53
./src/_00/output/C#/DapperLib~Dapper/benchmarks/Dapper.Tests.Performance/LegacyTests.cs|DapperLib|Dapper|LegacyTests.cs|C#|357|29|56
./src/_00/output/C#/DapperLib~Dapper/benchmarks/Dapper.Tests.Performance/Massive/Massive.cs|DapperLib|Dapper|Massive.cs|C#|341|102|12
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/ProcedureTests.cs|DapperLib|Dapper|ProcedureTests.cs|C#|299|7|40
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/ConstructorTests.cs|DapperLib|Dapper|ConstructorTests.cs|C#|286|0|44
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/DataReaderTests.cs|DapperLib|Dapper|DataReaderTests.cs|C#|278|4|40
./src/_00/output/C#/DapperLib~Dapper/Dapper/WrappedReader.cs|DapperLib|Dapper|WrappedReader.cs|C#|277|3|86
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.GridReader.cs|DapperLib|Dapper|SqlMapper.GridReader.cs|C#|263|182|49
./src/_00/output/C#/DapperLib~Dapper/Dapper.Rainbow/Database.cs|DapperLib|Dapper|Database.cs|C#|233|201|58
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/QueryMultipleTests.cs|DapperLib|Dapper|QueryMultipleTests.cs|C#|229|5|40
./src/_00/output/C#/DapperLib~Dapper/docs/index.md|DapperLib|Dapper|index.md|Markdown|227|0|126
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/Providers/OLDEBTests.cs|DapperLib|Dapper|OLDEBTests.cs|C#|227|2|35
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.DapperRow.cs|DapperLib|Dapper|SqlMapper.DapperRow.cs|C#|209|4|37
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/Providers/MySQLTests.cs|DapperLib|Dapper|MySQLTests.cs|C#|200|6|29
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.GridReader.Async.cs|DapperLib|Dapper|SqlMapper.GridReader.Async.cs|C#|195|86|30
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.Identity.cs|DapperLib|Dapper|SqlMapper.Identity.cs|C#|191|60|33
./src/_00/output/C#/DapperLib~Dapper/Dapper/DefaultTypeMap.cs|DapperLib|Dapper|DefaultTypeMap.cs|C#|182|42|32
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/TupleTests.cs|DapperLib|Dapper|TupleTests.cs|C#|166|7|29
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.TypeDeserializerCache.cs|DapperLib|Dapper|SqlMapper.TypeDeserializerCache.cs|C#|146|2|13
./src/_00/output/C#/DapperLib~Dapper/Dapper/CommandDefinition.cs|DapperLib|Dapper|CommandDefinition.cs|C#|142|51|24
./src/_00/output/C#/DapperLib~Dapper/Dapper.SqlBuilder/SqlBuilder.cs|DapperLib|Dapper|SqlBuilder.cs|C#|131|1|32
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/Helpers/XunitSkippable.cs|DapperLib|Dapper|XunitSkippable.cs|C#|131|0|28
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/Providers/SqliteTests.cs|DapperLib|Dapper|SqliteTests.cs|C#|131|3|28
./src/_00/output/C#/DapperLib~Dapper/Dapper.Rainbow/Snapshotter.cs|DapperLib|Dapper|Snapshotter.cs|C#|129|61|36
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/TestBase.cs|DapperLib|Dapper|TestBase.cs|C#|121|0|16
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/Providers/PostgresqlTests.cs|DapperLib|Dapper|PostgresqlTests.cs|C#|120|6|20
./src/_00/output/C#/DapperLib~Dapper/Dapper.sln|DapperLib|Dapper|Dapper.sln|Visual Studio Solution|119|1|1
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/EnumTests.cs|DapperLib|Dapper|EnumTests.cs|C#|117|0|17
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/DecimalTests.cs|DapperLib|Dapper|DecimalTests.cs|C#|108|0|12
./src/_00/output/C#/DapperLib~Dapper/Dapper.ProviderTools/DbConnectionExtensions.cs|DapperLib|Dapper|DbConnectionExtensions.cs|C#|103|12|14
./src/_00/output/C#/DapperLib~Dapper/benchmarks/Dapper.Tests.Performance/Program.cs|DapperLib|Dapper|Program.cs|C#|101|0|8
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/ProviderTests.cs|DapperLib|Dapper|ProviderTests.cs|C#|98|0|17
./src/_00/output/C#/DapperLib~Dapper/Dapper/SqlMapper.IDataReader.cs|DapperLib|Dapper|SqlMapper.IDataReader.cs|C#|97|89|8
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/LiteralTests.cs|DapperLib|Dapper|LiteralTests.cs|C#|97|0|9
./src/_00/output/C#/DapperLib~Dapper/Dapper.SqlBuilder/Readme.md|DapperLib|Dapper|Readme.md|Markdown|85|0|22
./src/_00/output/C#/DapperLib~Dapper/tests/Dapper.Tests/NullTests.cs|DapperLib|Dapper|NullTests.cs|C#|85|0|9
