Unnamed: 0|path|owner|project|file|language|code|comment|blank
0|./src/_00/output/C/tmux~tmux/window-copy.c|tmux|tmux|window-copy.c|C|4882|196|677
1|./src/_00/output/C/tmux~tmux/format.c|tmux|tmux|format.c|C|4385|323|568
2|./src/_00/output/C/tmux~tmux/tmux.h|tmux|tmux|tmux.h|C/C++ Header|2831|239|392
3|./src/_00/output/C/tmux~tmux/server-client.c|tmux|tmux|server-client.c|C|2800|252|289
4|./src/_00/output/C/tmux~tmux/input.c|tmux|tmux|input.c|C|2444|191|324
5|./src/_00/output/C/tmux~tmux/tty.c|tmux|tmux|tty.c|C|2426|302|460
6|./src/_00/output/C/tmux~tmux/screen-write.c|tmux|tmux|screen-write.c|C|1784|202|370
7|./src/_00/output/C/tmux~tmux/status.c|tmux|tmux|status.c|C|1679|117|236
8|./src/_00/output/C/tmux~tmux/cmd-parse.y|tmux|tmux|cmd-parse.y|yacc|1454|66|197
9|./src/_00/output/C/tmux~tmux/window.c|tmux|tmux|window.c|C|1341|58|272
10|./src/_00/output/C/tmux~tmux/window-customize.c|tmux|tmux|window-customize.c|C|1315|21|176
11|./src/_00/output/C/tmux~tmux/tty-keys.c|tmux|tmux|tty-keys.c|C|1177|212|164
12|./src/_00/output/C/tmux~tmux/options-table.c|tmux|tmux|options-table.c|C|1174|37|137
13|./src/_00/output/C/tmux~tmux/grid.c|tmux|tmux|grid.c|C|1159|187|189
14|./src/_00/output/C/tmux~tmux/window-tree.c|tmux|tmux|window-tree.c|C|1155|22|171
15|./src/_00/output/C/tmux~tmux/mode-tree.c|tmux|tmux|mode-tree.c|C|1067|27|170
16|./src/_00/output/C/tmux~tmux/options.c|tmux|tmux|options.c|C|1031|21|134
17|./src/_00/output/C/tmux~tmux/colour.c|tmux|tmux|colour.c|C|1020|48|45
18|./src/_00/output/C/tmux~tmux/cmd-find.c|tmux|tmux|cmd-find.c|C|1004|150|160
19|./src/_00/output/C/tmux~tmux/configure.ac|tmux|tmux|configure.ac|m4|932|0|56
20|./src/_00/output/C/tmux~tmux/format-draw.c|tmux|tmux|format-draw.c|C|907|224|112
21|./src/_00/output/C/tmux~tmux/arguments.c|tmux|tmux|arguments.c|C|899|73|125
22|./src/_00/output/C/tmux~tmux/control.c|tmux|tmux|control.c|C|861|87|169
23|./src/_00/output/C/tmux~tmux/layout.c|tmux|tmux|layout.c|C|831|154|135
24|./src/_00/output/C/tmux~tmux/tty-term.c|tmux|tmux|tty-term.c|C|775|64|79
25|./src/_00/output/C/tmux~tmux/cmd.c|tmux|tmux|cmd.c|C|712|51|111
26|./src/_00/output/C/tmux~tmux/screen-redraw.c|tmux|tmux|screen-redraw.c|C|689|66|108
27|./src/_00/output/C/tmux~tmux/popup.c|tmux|tmux|popup.c|C|687|29|102
28|./src/_00/output/C/tmux~tmux/cmd-queue.c|tmux|tmux|cmd-queue.c|C|677|85|137
29|./src/_00/output/C/tmux~tmux/file.c|tmux|tmux|file.c|C|677|57|125
30|./src/_00/output/C/tmux~tmux/compat/tree.h|tmux|tmux|tree.h|C/C++ Header|649|63|36
31|./src/_00/output/C/tmux~tmux/utf8.c|tmux|tmux|utf8.c|C|648|64|83
32|./src/_00/output/C/tmux~tmux/client.c|tmux|tmux|client.c|C|642|78|88
33|./src/_00/output/C/tmux~tmux/key-bindings.c|tmux|tmux|key-bindings.c|C|586|33|71
34|./src/_00/output/C/tmux~tmux/compat/imsg-buffer.c|tmux|tmux|imsg-buffer.c|C|576|25|109
35|./src/_00/output/C/tmux~tmux/input-keys.c|tmux|tmux|input-keys.c|C|568|73|45
36|./src/_00/output/C/tmux~tmux/session.c|tmux|tmux|session.c|C|556|73|130
37|./src/_00/output/C/tmux~tmux/screen.c|tmux|tmux|screen.c|C|520|105|112
38|./src/_00/output/C/tmux~tmux/image-sixel.c|tmux|tmux|image-sixel.c|C|506|21|76
39|./src/_00/output/C/tmux~tmux/menu.c|tmux|tmux|menu.c|C|470|23|63
