path|owner|project|file|language|code|comment|blank
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/danmaku/dm.pb.dart|guozhigq|pilipala|dm.pb.dart|Dart|9420|6|768
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/danmaku/dm.pbjson.dart|guozhigq|pilipala|dm.pbjson.dart|Dart|2138|90|90
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/widgets/header_control.dart|guozhigq|pilipala|header_control.dart|Dart|1283|71|27
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/reply/widgets/reply_item.dart|guozhigq|pilipala|reply_item.dart|Dart|964|59|20
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/plugin/pl_player/view.dart|guozhigq|pilipala|view.dart|Dart|903|79|48
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/plugin/pl_player/controller.dart|guozhigq|pilipala|controller.dart|Dart|833|211|128
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/dynamics/result.dart|guozhigq|pilipala|result.dart|Dart|727|29|90
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/introduction/view.dart|guozhigq|pilipala|view.dart|Dart|702|17|30
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/view.dart|guozhigq|pilipala|view.dart|Dart|696|36|37
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/video_detail_res.dart|guozhigq|pilipala|video_detail_res.dart|Dart|616|1|88
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/whisper_detail/widget/chat_item.dart|guozhigq|pilipala|chat_item.dart|Dart|550|5|16
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/introduction/controller.dart|guozhigq|pilipala|controller.dart|Dart|519|44|33
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/danmaku/dm.proto|guozhigq|pilipala|dm.proto|Protocol Buffers|509|313|71
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/http/member.dart|guozhigq|pilipala|member.dart|Dart|479|15|19
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/controller.dart|guozhigq|pilipala|controller.dart|Dart|467|58|41
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/http/video.dart|guozhigq|pilipala|video.dart|Dart|455|44|30
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/login/view.dart|guozhigq|pilipala|view.dart|Dart|433|3|6
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/html/view.dart|guozhigq|pilipala|view.dart|Dart|429|15|12
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/search/result.dart|guozhigq|pilipala|result.dart|Dart|411|27|27
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/home/view.dart|guozhigq|pilipala|view.dart|Dart|410|2|28
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/common/widgets/video_card_v.dart|guozhigq|pilipala|video_card_v.dart|Dart|405|5|16
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/common/widgets/video_card_h.dart|guozhigq|pilipala|video_card_h.dart|Dart|398|25|9
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/dynamics/widgets/action_panel.dart|guozhigq|pilipala|action_panel.dart|Dart|397|24|30
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/dynamics/detail/view.dart|guozhigq|pilipala|view.dart|Dart|392|24|24
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/history/widgets/item.dart|guozhigq|pilipala|item.dart|Dart|392|6|4
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/member/view.dart|guozhigq|pilipala|view.dart|Dart|389|18|15
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/bangumi/introduction/view.dart|guozhigq|pilipala|view.dart|Dart|375|7|16
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/http/user.dart|guozhigq|pilipala|user.dart|Dart|368|40|23
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/mine/view.dart|guozhigq|pilipala|view.dart|Dart|354|1|11
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/macos/Runner/Base.lproj/MainMenu.xib|guozhigq|pilipala|MainMenu.xib|XML|343|0|0
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/setting/play_setting.dart|guozhigq|pilipala|play_setting.dart|Dart|341|1|9
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/utils/utils.dart|guozhigq|pilipala|utils.dart|Dart|334|23|36
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/search_panel/widgets/video_panel.dart|guozhigq|pilipala|video_panel.dart|Dart|333|11|12
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/whisper_detail/view.dart|guozhigq|pilipala|view.dart|Dart|330|3|13
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/setting/pages/play_speed_set.dart|guozhigq|pilipala|play_speed_set.dart|Dart|321|14|8
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/reply/view.dart|guozhigq|pilipala|view.dart|Dart|318|12|22
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/about/index.dart|guozhigq|pilipala|index.dart|Dart|312|34|22
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/video/detail/reply_new/view.dart|guozhigq|pilipala|view.dart|Dart|305|8|18
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/message/like/view.dart|guozhigq|pilipala|view.dart|Dart|303|5|11
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/setting/style_setting.dart|guozhigq|pilipala|style_setting.dart|Dart|294|5|8
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/models/danmaku/dm.pbenum.dart|guozhigq|pilipala|dm.pbenum.dart|Dart|291|7|49
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/dynamics/widgets/up_panel.dart|guozhigq|pilipala|up_panel.dart|Dart|282|0|15
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/media/view.dart|guozhigq|pilipala|view.dart|Dart|281|2|11
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/dynamics/view.dart|guozhigq|pilipala|view.dart|Dart|277|1|11
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/utils/app_scheme.dart|guozhigq|pilipala|app_scheme.dart|Dart|275|9|9
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/http/msg.dart|guozhigq|pilipala|msg.dart|Dart|274|5|11
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/dynamics/widgets/forward_panel.dart|guozhigq|pilipala|forward_panel.dart|Dart|268|30|4
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/member/widgets/profile.dart|guozhigq|pilipala|profile.dart|Dart|268|0|2
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/login/controller.dart|guozhigq|pilipala|controller.dart|Dart|263|46|27
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/bangumi/introduction/controller.dart|guozhigq|pilipala|controller.dart|Dart|262|32|25
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/whisper/view.dart|guozhigq|pilipala|view.dart|Dart|261|3|12
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/history/view.dart|guozhigq|pilipala|view.dart|Dart|260|5|12
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/setting/extra_setting.dart|guozhigq|pilipala|extra_setting.dart|Dart|260|4|8
./src/_00.1/output-0-clone/Dart/guozhigq~pilipala/lib/pages/preview/view.dart|guozhigq|pilipala|view.dart|Dart|259|12|19
