Unnamed: 0|path|owner|project|file|language|code|comment|blank
0|./src/_00/output/Elixir/rrrene~credo/CHANGELOG.md|rrrene|credo|CHANGELOG.md|Markdown|966|0|455
1|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_enum_operation_test.exs|rrrene|credo|unused_enum_operation_test.exs|Elixir|803|9|81
2|./src/_00/output/Elixir/rrrene~credo/test/fixtures/example_code/clean.ex|rrrene|credo|clean.ex|Elixir|753|527|221
3|./src/_00/output/Elixir/rrrene~credo/test/fixtures/integration_test_config/lib/clean/dirty.ex|rrrene|credo|dirty.ex|Elixir|751|527|221
4|./src/_00/output/Elixir/rrrene~credo/test/fixtures/example_code/browser.ex|rrrene|credo|browser.ex|Elixir|707|527|285
5|./src/_00/output/Elixir/rrrene~credo/test/fixtures/example_code/browser2.ex|rrrene|credo|browser2.ex|Elixir|707|527|285
6|./src/_00/output/Elixir/rrrene~credo/test/credo/code/token_ast_correlation_test.exs|rrrene|credo|token_ast_correlation_test.exs|Elixir|693|1|23
7|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_string_operation_test.exs|rrrene|credo|unused_string_operation_test.exs|Elixir|683|6|67
8|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_path_operation_test.exs|rrrene|credo|unused_path_operation_test.exs|Elixir|681|8|65
9|./src/_00/output/Elixir/rrrene~credo/lib/credo/check.ex|rrrene|credo|check.ex|Elixir|574|155|154
10|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_file_operation_test.exs|rrrene|credo|unused_file_operation_test.exs|Elixir|570|7|48
11|./src/_00/output/Elixir/rrrene~credo/test/credo/code/heredocs_test.exs|rrrene|credo|heredocs_test.exs|Elixir|539|90|118
12|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_list_operation_test.exs|rrrene|credo|unused_list_operation_test.exs|Elixir|522|6|49
13|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_keyword_operation_test.exs|rrrene|credo|unused_keyword_operation_test.exs|Elixir|516|9|51
14|./src/_00/output/Elixir/rrrene~credo/lib/credo/code/strings.ex|rrrene|credo|strings.ex|Elixir|509|26|88
15|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_regex_operation_test.exs|rrrene|credo|unused_regex_operation_test.exs|Elixir|509|8|49
16|./src/_00/output/Elixir/rrrene~credo/test/credo/check/warning/unused_tuple_operation_test.exs|rrrene|credo|unused_tuple_operation_test.exs|Elixir|509|8|49
17|./src/_00/output/Elixir/rrrene~credo/lib/credo/code/heredocs.ex|rrrene|credo|heredocs.ex|Elixir|501|25|79
