path|owner|project|file|language|code|comment|blank
./src/_00/output/Go/junegunn~fzf/src/terminal.go|junegunn|fzf|terminal.go|Go|3965|151|289
./src/_00/output/Go/junegunn~fzf/test/test_go.rb|junegunn|fzf|test_go.rb|Ruby|3277|96|424
./src/_00/output/Go/junegunn~fzf/src/options.go|junegunn|fzf|options.go|Go|2481|34|125
./src/_00/output/Go/junegunn~fzf/CHANGELOG.md|junegunn|fzf|CHANGELOG.md|Markdown|1814|0|267
./src/_00/output/Go/junegunn~fzf/src/tui/light.go|junegunn|fzf|light.go|Go|1017|36|108
./src/_00/output/Go/junegunn~fzf/plugin/fzf.vim|junegunn|fzf|fzf.vim|vim script|927|64|103
./src/_00/output/Go/junegunn~fzf/src/tui/tui.go|junegunn|fzf|tui.go|Go|783|13|89
./src/_00/output/Go/junegunn~fzf/src/algo/algo.go|junegunn|fzf|algo.go|Go|738|149|97
./src/_00/output/Go/junegunn~fzf/README.md|junegunn|fzf|README.md|Markdown|698|0|205
./src/_00/output/Go/junegunn~fzf/src/tui/tcell.go|junegunn|fzf|tcell.go|Go|675|44|88
./src/_00/output/Go/junegunn~fzf/ADVANCED.md|junegunn|fzf|ADVANCED.md|Markdown|535|0|145
./src/_00/output/Go/junegunn~fzf/src/algo/normalize.go|junegunn|fzf|normalize.go|Go|478|3|11
./src/_00/output/Go/junegunn~fzf/src/options_test.go|junegunn|fzf|options_test.go|Go|450|7|43
./src/_00/output/Go/junegunn~fzf/shell/completion.bash|junegunn|fzf|completion.bash|Bourne Again Shell|440|73|49
./src/_00/output/Go/junegunn~fzf/src/terminal_test.go|junegunn|fzf|terminal_test.go|Go|409|149|101
./src/_00/output/Go/junegunn~fzf/README-VIM.md|junegunn|fzf|README-VIM.md|Markdown|389|0|104
./src/_00/output/Go/junegunn~fzf/src/ansi.go|junegunn|fzf|ansi.go|Go|379|36|36
./src/_00/output/Go/junegunn~fzf/src/ansi_test.go|junegunn|fzf|ansi_test.go|Go|372|17|42
./src/_00/output/Go/junegunn~fzf/src/core.go|junegunn|fzf|core.go|Go|357|27|28
./src/_00/output/Go/junegunn~fzf/src/pattern.go|junegunn|fzf|pattern.go|Go|348|25|41
./src/_00/output/Go/junegunn~fzf/install|junegunn|fzf|install|Bourne Again Shell|342|10|38
./src/_00/output/Go/junegunn~fzf/shell/completion.zsh|junegunn|fzf|completion.zsh|zsh|248|89|37
./src/_00/output/Go/junegunn~fzf/src/reader.go|junegunn|fzf|reader.go|Go|228|27|23
./src/_00/output/Go/junegunn~fzf/src/server.go|junegunn|fzf|server.go|Go|224|7|21
./src/_00/output/Go/junegunn~fzf/src/tokenizer.go|junegunn|fzf|tokenizer.go|Go|220|12|21
./src/_00/output/Go/junegunn~fzf/src/matcher.go|junegunn|fzf|matcher.go|Go|212|8|32
./src/_00/output/Go/junegunn~fzf/bin/fzf-tmux|junegunn|fzf|fzf-tmux|Bourne Again Shell|209|10|23
./src/_00/output/Go/junegunn~fzf/src/result.go|junegunn|fzf|result.go|Go|206|24|31
./src/_00/output/Go/junegunn~fzf/src/util/util_test.go|junegunn|fzf|util_test.go|Go|187|0|18
./src/_00/output/Go/junegunn~fzf/src/pattern_test.go|junegunn|fzf|pattern_test.go|Go|182|0|19
./src/_00/output/Go/junegunn~fzf/src/algo/algo_test.go|junegunn|fzf|algo_test.go|Go|175|4|23
./src/_00/output/Go/junegunn~fzf/src/util/chars.go|junegunn|fzf|chars.go|Go|169|6|23
./src/_00/output/Go/junegunn~fzf/src/util/util.go|junegunn|fzf|util.go|Go|155|16|19
./src/_00/output/Go/junegunn~fzf/src/util/util_windows.go|junegunn|fzf|util_windows.go|Go|148|24|17
./src/_00/output/Go/junegunn~fzf/Makefile|junegunn|fzf|Makefile|make|140|12|35
./src/_00/output/Go/junegunn~fzf/src/result_test.go|junegunn|fzf|result_test.go|Go|139|16|19
./src/_00/output/Go/junegunn~fzf/src/tui/light_unix.go|junegunn|fzf|light_unix.go|Go|136|3|22
./src/_00/output/Go/junegunn~fzf/src/merger.go|junegunn|fzf|merger.go|Go|131|10|17
./src/_00/output/Go/junegunn~fzf/src/tui/tcell_test.go|junegunn|fzf|tcell_test.go|Go|131|236|27
./src/_00/output/Go/junegunn~fzf/shell/key-bindings.fish|junegunn|fzf|key-bindings.fish|Fish Shell|127|31|28
./src/_00/output/Go/junegunn~fzf/src/actiontype_string.go|junegunn|fzf|actiontype_string.go|Go|124|3|6
./src/_00/output/Go/junegunn~fzf/src/tui/light_windows.go|junegunn|fzf|light_windows.go|Go|120|15|23
