path|owner|project|file|language|code|comment|blank
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/kotlinx-coroutines-core/common/src/channels/BufferedChannel.kt|Kotlin|kotlinx.coroutines|BufferedChannel.kt|Kotlin|1567|1352|166
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/docs/topics/flow.md|Kotlin|kotlinx.coroutines|flow.md|Markdown|1506|1|392
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/CHANGES_UP_TO_1.7.md|Kotlin|kotlinx.coroutines|CHANGES_UP_TO_1.7.md|Markdown|1339|0|267
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/docs/topics/coroutines-and-channels.md|Kotlin|kotlinx.coroutines|coroutines-and-channels.md|Markdown|1199|1|355
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/kotlinx-coroutines-core/common/src/JobSupport.kt|Kotlin|kotlinx.coroutines|JobSupport.kt|Kotlin|859|456|145
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/kotlinx-coroutines-core/common/test/flow/sharing/SharedFlowTest.kt|Kotlin|kotlinx.coroutines|SharedFlowTest.kt|Kotlin|768|33|37
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/integration/kotlinx-coroutines-guava/test/ListenableFutureTest.kt|Kotlin|kotlinx.coroutines|ListenableFutureTest.kt|Kotlin|726|14|71
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/kotlinx-coroutines-core/jvm/src/scheduling/CoroutineScheduler.kt|Kotlin|kotlinx.coroutines|CoroutineScheduler.kt|Kotlin|563|402|85
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/docs/topics/coroutine-context-and-dispatchers.md|Kotlin|kotlinx.coroutines|coroutine-context-and-dispatchers.md|Markdown|537|1|144
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/kotlinx-coroutines-core/jvm/test/jdk8/future/FutureTest.kt|Kotlin|kotlinx.coroutines|FutureTest.kt|Kotlin|522|23|53
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/docs/topics/channels.md|Kotlin|kotlinx.coroutines|channels.md|Markdown|520|1|132
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/ui/coroutines-guide-ui.md|Kotlin|kotlinx.coroutines|coroutines-guide-ui.md|Markdown|500|0|140
./src/_00/output/Kotlin/Kotlin~kotlinx.coroutines/kotlinx-coroutines-test/common/test/TestScopeTest.kt|Kotlin|kotlinx.coroutines|TestScopeTest.kt|Kotlin|455|75|27
