Unnamed: 0|path|owner|project|file|language|code|comment|blank
0|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Utility/FLEXResources.m|FLEXTool|FLEX|FLEXResources.m|Objective-C|8682|29|150
1|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Network/PonyDebugger/FLEXNetworkObserver.m|FLEXTool|FLEX|FLEXNetworkObserver.m|Objective-C|1604|144|294
2|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/ExplorerInterface/FLEXExplorerViewController.m|FLEXTool|FLEX|FLEXExplorerViewController.m|Objective-C|782|117|194
3|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Utility/Runtime/FLEXRuntimeUtility.m|FLEXTool|FLEX|FLEXRuntimeUtility.m|Objective-C|674|95|121
4|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/GlobalStateExplorers/RuntimeBrowser/DataSources/FLEXRuntimeExporter.m|FLEXTool|FLEX|FLEXRuntimeExporter.m|Objective-C|664|55|156
5|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Utility/Runtime/Objc/FLEXTypeEncodingParser.m|FLEXTool|FLEX|FLEXTypeEncodingParser.m|Objective-C|604|156|140
6|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Utility/Categories/FLEXRuntime+UIKitHelpers.m|FLEXTool|FLEX|FLEXRuntime+UIKitHelpers.m|Objective-C|478|34|122
7|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Network/FLEXNetworkMITMViewController.m|FLEXTool|FLEX|FLEXNetworkMITMViewController.m|Objective-C|464|58|111
8|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/Core/Controllers/FLEXTableViewController.m|FLEXTool|FLEX|FLEXTableViewController.m|Objective-C|448|51|119
9|./src/_00/output/Objective-C/FLEXTool~FLEX/Classes/GlobalStateExplorers/FileBrowser/FLEXFileBrowserController.m|FLEXTool|FLEX|FLEXFileBrowserController.m|Objective-C|446|25|86
