path|owner|project|file|language|code|comment|blank
./src/_00/output/Python/localstack~localstack/tests/aws/services/stepfunctions/v2/scenarios/test_base_scenarios.snapshot.json|localstack|localstack|test_base_scenarios.snapshot.json|JSON|25049|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/lambda_/test_lambda_api.snapshot.json|localstack|localstack|test_lambda_api.snapshot.json|JSON|22262|0|0
./src/_00/output/Python/localstack~localstack/localstack-core/localstack/aws/api/ec2/__init__.py|localstack|localstack|__init__.py|Python|21011|0|6624
./src/_00/output/Python/localstack~localstack/tests/aws/services/s3/test_s3.snapshot.json|localstack|localstack|test_s3.snapshot.json|JSON|13557|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/s3/test_s3.py|localstack|localstack|test_s3.py|Python|9832|731|1540
./src/_00/output/Python/localstack~localstack/localstack-core/localstack/services/stepfunctions/asl/antlr/runtime/ASLParser.py|localstack|localstack|ASLParser.py|Python|8952|2|2751
./src/_00/output/Python/localstack~localstack/localstack-core/localstack/aws/api/ssm/__init__.py|localstack|localstack|__init__.py|Python|5705|0|1844
./src/_00/output/Python/localstack~localstack/tests/aws/services/lambda_/test_lambda_api.py|localstack|localstack|test_lambda_api.py|Python|5438|439|811
./src/_00/output/Python/localstack~localstack/tests/aws/services/stepfunctions/v2/services/test_lambda_task_service.snapshot.json|localstack|localstack|test_lambda_task_service.snapshot.json|JSON|5216|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/apigateway/test_apigateway_import.snapshot.json|localstack|localstack|test_apigateway_import.snapshot.json|JSON|5194|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/lambda_/test_lambda_common.snapshot.json|localstack|localstack|test_lambda_common.snapshot.json|JSON|5157|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/stepfunctions/v2/assign/test_assign_reference_variables.snapshot.json|localstack|localstack|test_assign_reference_variables.snapshot.json|JSON|4978|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/sns/test_sns.snapshot.json|localstack|localstack|test_sns.snapshot.json|JSON|4953|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/stepfunctions/v2/intrinsic_functions/test_array.snapshot.json|localstack|localstack|test_array.snapshot.json|JSON|4698|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/secretsmanager/test_secretsmanager.snapshot.json|localstack|localstack|test_secretsmanager.snapshot.json|JSON|4590|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/lambda_/event_source_mapping/test_lambda_integration_sqs.snapshot.json|localstack|localstack|test_lambda_integration_sqs.snapshot.json|JSON|4563|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/lambda_/test_lambda.snapshot.json|localstack|localstack|test_lambda.snapshot.json|JSON|4467|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/lambda_/event_source_mapping/test_lambda_integration_dynamodbstreams.snapshot.json|localstack|localstack|test_lambda_integration_dynamodbstreams.snapshot.json|JSON|4294|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/s3/test_s3_api.snapshot.json|localstack|localstack|test_s3_api.snapshot.json|JSON|4163|0|0
./src/_00/output/Python/localstack~localstack/tests/aws/services/sqs/test_sqs.py|localstack|localstack|test_sqs.py|Python|4031|329|776
./src/_00/output/Python/localstack~localstack/localstack-core/localstack/aws/api/s3/__init__.py|localstack|localstack|__init__.py|Python|3939|0|1079
./src/_00/output/Python/localstack~localstack/localstack-core/localstack/aws/api/redshift/__init__.py|localstack|localstack|__init__.py|Python|3851|0|1335
./src/_00/output/Python/localstack~localstack/tests/aws/services/sns/test_sns.py|localstack|localstack|test_sns.py|Python|3815|252|661
