Unnamed: 0|path|owner|project|file|language|code|comment|blank
0|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/youtube.py|yt-dlp|yt-dlp|youtube.py|Python|6459|492|526
1|./src/_00/output/Python/yt-dlp~yt-dlp/Changelog.md|yt-dlp|yt-dlp|Changelog.md|Markdown|4236|0|249
2|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/utils/_utils.py|yt-dlp|yt-dlp|_utils.py|Python|4029|542|905
3|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/YoutubeDL.py|yt-dlp|yt-dlp|YoutubeDL.py|Python|3298|625|469
4|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/common.py|yt-dlp|yt-dlp|common.py|Python|2792|769|418
5|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/_extractors.py|yt-dlp|yt-dlp|_extractors.py|Python|2582|3|3
6|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/generic.py|yt-dlp|yt-dlp|generic.py|Python|2495|267|71
7|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/bilibili.py|yt-dlp|yt-dlp|bilibili.py|Python|2010|17|210
8|./src/_00/output/Python/yt-dlp~yt-dlp/README.md|yt-dlp|yt-dlp|README.md|Markdown|1912|0|437
9|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/options.py|yt-dlp|yt-dlp|options.py|Python|1866|17|57
10|./src/_00/output/Python/yt-dlp~yt-dlp/supportedsites.md|yt-dlp|yt-dlp|supportedsites.md|Markdown|1810|0|0
11|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/twitter.py|yt-dlp|yt-dlp|twitter.py|Python|1749|45|112
12|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/adobepass.py|yt-dlp|yt-dlp|adobepass.py|Python|1715|23|40
13|./src/_00/output/Python/yt-dlp~yt-dlp/test/test_networking.py|yt-dlp|yt-dlp|test_networking.py|Python|1604|99|279
14|./src/_00/output/Python/yt-dlp~yt-dlp/test/test_InfoExtractor.py|yt-dlp|yt-dlp|test_InfoExtractor.py|Python|1593|276|51
15|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/bbc.py|yt-dlp|yt-dlp|bbc.py|Python|1589|111|138
16|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/tiktok.py|yt-dlp|yt-dlp|tiktok.py|Python|1390|36|122
17|./src/_00/output/Python/yt-dlp~yt-dlp/test/test_utils.py|yt-dlp|yt-dlp|test_utils.py|Python|1321|518|265
18|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/vimeo.py|yt-dlp|yt-dlp|vimeo.py|Python|1298|63|94
19|./src/_00/output/Python/yt-dlp~yt-dlp/test/test_YoutubeDL.py|yt-dlp|yt-dlp|test_YoutubeDL.py|Python|1089|56|201
20|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/twitch.py|yt-dlp|yt-dlp|twitch.py|Python|1024|81|114
21|./src/_00/output/Python/yt-dlp~yt-dlp/test/testdata/ism/sintel.Manifest|yt-dlp|yt-dlp|sintel.Manifest|XML|987|1|0
22|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/cookies.py|yt-dlp|yt-dlp|cookies.py|Python|971|170|218
23|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/dplay.py|yt-dlp|yt-dlp|dplay.py|Python|970|13|99
24|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/niconico.py|yt-dlp|yt-dlp|niconico.py|Python|939|21|100
25|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/facebook.py|yt-dlp|yt-dlp|facebook.py|Python|918|69|73
26|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/__init__.py|yt-dlp|yt-dlp|__init__.py|Python|903|72|121
27|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/soundcloud.py|yt-dlp|yt-dlp|soundcloud.py|Python|849|68|108
28|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/archiveorg.py|yt-dlp|yt-dlp|archiveorg.py|Python|823|64|60
29|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/postprocessor/ffmpeg.py|yt-dlp|yt-dlp|ffmpeg.py|Python|798|205|189
30|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/brightcove.py|yt-dlp|yt-dlp|brightcove.py|Python|775|112|65
31|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/nrk.py|yt-dlp|yt-dlp|nrk.py|Python|749|45|81
32|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/nbc.py|yt-dlp|yt-dlp|nbc.py|Python|745|46|60
33|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/vk.py|yt-dlp|yt-dlp|vk.py|Python|744|31|84
34|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/nhk.py|yt-dlp|yt-dlp|nhk.py|Python|711|33|80
35|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/zattoo.py|yt-dlp|yt-dlp|zattoo.py|Python|711|7|147
36|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/rai.py|yt-dlp|yt-dlp|rai.py|Python|703|29|84
37|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/pornhub.py|yt-dlp|yt-dlp|pornhub.py|Python|690|51|84
38|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/jsinterp.py|yt-dlp|yt-dlp|jsinterp.py|Python|681|52|120
39|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/pbs.py|yt-dlp|yt-dlp|pbs.py|Python|663|53|41
40|./src/_00/output/Python/yt-dlp~yt-dlp/yt_dlp/extractor/cbc.py|yt-dlp|yt-dlp|cbc.py|Python|655|24|54
