path|owner|project|file|language|code|comment|blank
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/euc_kr_in_ref.txt|helix-editor|helix|euc_kr_in_ref.txt|Text|23943|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/gb18030_in_ref.txt|helix-editor|helix|gb18030_in_ref.txt|Text|23943|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/gb18030_out.txt|helix-editor|helix|gb18030_out.txt|Text|23942|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/big5_in_ref.txt|helix-editor|helix|big5_in_ref.txt|Text|19785|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/euc_kr_out.txt|helix-editor|helix|euc_kr_out.txt|Text|17051|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/big5_out.txt|helix-editor|helix|big5_out.txt|Text|14599|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/shift_jis_in_ref.txt|helix-editor|helix|shift_jis_in_ref.txt|Text|11283|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/iso_2022_jp_in.txt|helix-editor|helix|iso_2022_jp_in.txt|Text|8839|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/jis0208_in_ref.txt|helix-editor|helix|jis0208_in_ref.txt|Text|8839|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/jis0212_in_ref.txt|helix-editor|helix|jis0212_in_ref.txt|Text|8839|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/iso_2022_jp_out.txt|helix-editor|helix|iso_2022_jp_out.txt|Text|7402|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/iso_2022_jp_out_ref.txt|helix-editor|helix|iso_2022_jp_out_ref.txt|Text|7402|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/shift_jis_out.txt|helix-editor|helix|shift_jis_out.txt|Text|7353|0|1
./src/_00/output/Rust/helix-editor~helix/helix-view/tests/encoding/jis0208_out.txt|helix-editor|helix|jis0208_out.txt|Text|7339|0|1
./src/_00/output/Rust/helix-editor~helix/helix-term/src/commands.rs|helix-editor|helix|commands.rs|Rust|5409|280|808
./src/_00/output/Rust/helix-editor~helix/languages.toml|helix-editor|helix|languages.toml|TOML|3432|20|554
./src/_00/output/Rust/helix-editor~helix/helix-term/src/commands/typed.rs|helix-editor|helix|typed.rs|Rust|2824|72|391
./src/_00/output/Rust/helix-editor~helix/helix-core/src/syntax.rs|helix-editor|helix|syntax.rs|Rust|2374|319|331
./src/_00/output/Rust/helix-editor~helix/CHANGELOG.md|helix-editor|helix|CHANGELOG.md|Markdown|2107|0|241
./src/_00/output/Rust/helix-editor~helix/helix-core/src/movement.rs|helix-editor|helix|movement.rs|Rust|1954|90|151
./src/_00/output/Rust/helix-editor~helix/helix-view/src/document.rs|helix-editor|helix|document.rs|Rust|1848|297|285
