path|owner|project|file|language|code|comment|blank
./src/_00/output/Rust/lapce~lapce/lapce-app/src/app.rs|lapce|lapce|app.rs|Rust|3831|33|151
./src/_00/output/Rust/lapce~lapce/lapce-app/src/editor.rs|lapce|lapce|editor.rs|Rust|3046|73|251
./src/_00/output/Rust/lapce~lapce/lapce-app/src/main_split.rs|lapce|lapce|main_split.rs|Rust|2698|26|196
./src/_00/output/Rust/lapce~lapce/lapce-app/src/window_tab.rs|lapce|lapce|window_tab.rs|Rust|2316|49|154
./src/_00/output/Rust/lapce~lapce/lapce-app/src/editor/view.rs|lapce|lapce|view.rs|Rust|2080|73|197
./src/_00/output/Rust/lapce~lapce/lapce-app/src/doc.rs|lapce|lapce|doc.rs|Rust|1731|116|203
./src/_00/output/Rust/lapce~lapce/lapce-core/src/language.rs|lapce|lapce|language.rs|Rust|1612|58|229
./src/_00/output/Rust/lapce~lapce/lapce-app/src/palette.rs|lapce|lapce|palette.rs|Rust|1487|44|99
./src/_00/output/Rust/lapce~lapce/lapce-proxy/src/plugin/mod.rs|lapce|lapce|mod.rs|Rust|1460|8|83
./src/_00/output/Rust/lapce~lapce/lapce-proxy/src/dispatch.rs|lapce|lapce|dispatch.rs|Rust|1437|34|89
./src/_00/output/Rust/lapce~lapce/lapce-proxy/src/plugin/psp.rs|lapce|lapce|psp.rs|Rust|1226|22|86
./src/_00/output/Rust/lapce~lapce/lapce-app/src/settings.rs|lapce|lapce|settings.rs|Rust|1211|1|88
./src/_00/output/Rust/lapce~lapce/lapce-core/src/syntax/mod.rs|lapce|lapce|mod.rs|Rust|1031|63|114
./src/_00/output/Rust/lapce~lapce/lapce-rpc/src/proxy.rs|lapce|lapce|proxy.rs|Rust|996|4|91
./src/_00/output/Rust/lapce~lapce/lapce-app/src/plugin.rs|lapce|lapce|plugin.rs|Rust|926|0|59
./src/_00/output/Rust/lapce~lapce/lapce-app/src/config.rs|lapce|lapce|config.rs|Rust|839|43|94
./src/_00/output/Rust/lapce~lapce/lapce-rpc/src/dap_types.rs|lapce|lapce|dap_types.rs|Rust|759|9|89
./src/_00/output/Rust/lapce~lapce/lapce-app/src/panel/debug_view.rs|lapce|lapce|debug_view.rs|Rust|741|0|15
./src/_00/output/Rust/lapce~lapce/lapce-app/src/terminal/data.rs|lapce|lapce|data.rs|Rust|724|39|59
