path|owner|project|file|language|code|comment|blank
.\src\_00\output\Scala\microsoft~SynapseML\core\src\main\python\synapse\ml\cyber\anomaly\collaborative_filtering.py|microsoft|SynapseML|collaborative_filtering.py|Python|1005|50|171
.\src\_00\output\Scala\microsoft~SynapseML\core\src\test\python\synapsemltest\cyber\anamoly\test_collaborative_filtering.py|microsoft|SynapseML|test_collaborative_filtering.py|Python|796|2|160
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-1.0.4\Quick Examples\transformers\core\_Stages.md|microsoft|SynapseML|_Stages.md|Markdown|710|17|311
.\src\_00\output\Scala\microsoft~SynapseML\pipeline.yaml|microsoft|SynapseML|pipeline.yaml|YAML|709|11|22
.\src\_00\output\Scala\microsoft~SynapseML\core\src\main\scala\org\apache\spark\sql\execution\streaming\continuous\HTTPSourceV2.scala|microsoft|SynapseML|HTTPSourceV2.scala|Scala|612|12|126
.\src\_00\output\Scala\microsoft~SynapseML\cognitive\src\main\scala\com\microsoft\azure\synapse\ml\services\anomaly\MultivariateAnomalyDetection.scala|microsoft|SynapseML|MultivariateAnomalyDetection.scala|Scala|603|17|149
.\src\_00\output\Scala\microsoft~SynapseML\cognitive\src\test\scala\com\microsoft\azure\synapse\ml\services\search\SearchWriterSuite.scala|microsoft|SynapseML|SearchWriterSuite.scala|Scala|568|18|81
.\src\_00\output\Scala\microsoft~SynapseML\lightgbm\src\main\scala\com\microsoft\azure\synapse\ml\lightgbm\params\LightGBMParams.scala|microsoft|SynapseML|LightGBMParams.scala|Scala|527|32|93
.\src\_00\output\Scala\microsoft~SynapseML\cognitive\src\main\scala\com\microsoft\azure\synapse\ml\services\text\TextAnalytics.scala|microsoft|SynapseML|TextAnalytics.scala|Scala|523|5|175
.\src\_00\output\Scala\microsoft~SynapseML\core\src\test\scala\com\microsoft\azure\synapse\ml\core\test\fuzzing\Fuzzing.scala|microsoft|SynapseML|Fuzzing.scala|Scala|520|18|87
.\src\_00\output\Scala\microsoft~SynapseML\opencv\src\main\scala\com\microsoft\azure\synapse\ml\opencv\ImageTransformer.scala|microsoft|SynapseML|ImageTransformer.scala|Scala|507|113|105
.\src\_00\output\Scala\microsoft~SynapseML\lightgbm\src\main\scala\com\microsoft\azure\synapse\ml\lightgbm\LightGBMBase.scala|microsoft|SynapseML|LightGBMBase.scala|Scala|495|186|69
.\src\_00\output\Scala\microsoft~SynapseML\cognitive\src\test\scala\com\microsoft\azure\synapse\ml\services\form\FormRecognizerSuite.scala|microsoft|SynapseML|FormRecognizerSuite.scala|Scala|493|3|116
.\src\_00\output\Scala\microsoft~SynapseML\cognitive\src\main\scala\com\microsoft\azure\synapse\ml\services\speech\SpeechToTextSDK.scala|microsoft|SynapseML|SpeechToTextSDK.scala|Scala|484|11|105
.\src\_00\output\Scala\microsoft~SynapseML\website\docusaurus.config.js|microsoft|SynapseML|docusaurus.config.js|JavaScript|479|0|1
.\src\_00\output\Scala\microsoft~SynapseML\cognitive\src\main\scala\com\microsoft\azure\synapse\ml\services\vision\ComputerVision.scala|microsoft|SynapseML|ComputerVision.scala|Scala|471|16|163
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-0.11.4\Quick Examples\transformers\cognitive\_FormRecognizer.md|microsoft|SynapseML|_FormRecognizer.md|Markdown|453|9|154
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-1.0.4\Quick Examples\transformers\cognitive\_FormRecognizer.md|microsoft|SynapseML|_FormRecognizer.md|Markdown|453|9|154
.\src\_00\output\Scala\microsoft~SynapseML\lightgbm\src\main\scala\com\microsoft\azure\synapse\ml\lightgbm\dataset\DatasetAggregator.scala|microsoft|SynapseML|DatasetAggregator.scala|Scala|449|52|88
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-1.0.1\Explore Algorithms\AI Services\Overview.md|microsoft|SynapseML|Overview.md|Markdown|441|0|113
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-1.0.2\Explore Algorithms\AI Services\Overview.md|microsoft|SynapseML|Overview.md|Markdown|441|0|113
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-1.0.3\Explore Algorithms\AI Services\Overview.md|microsoft|SynapseML|Overview.md|Markdown|441|0|113
.\src\_00\output\Scala\microsoft~SynapseML\website\versioned_docs\version-1.0.4\Explore Algorithms\AI Services\Overview.md|microsoft|SynapseML|Overview.md|Markdown|441|0|113
