path|owner|project|file|language|code|comment|blank
.\src\_00\output\Swift\HeroTransitions~Hero\docs\undocumented.json|HeroTransitions|Hero|undocumented.json|JSON|4513|0|0
.\src\_00\output\Swift\HeroTransitions~Hero\docs\docsets\Hero.docset\Contents\Resources\Documents\Classes\HeroModifier.html|HeroTransitions|Hero|HeroModifier.html|HTML|2062|0|175
.\src\_00\output\Swift\HeroTransitions~Hero\docs\js\typeahead.jquery.js|HeroTransitions|Hero|typeahead.jquery.js|JavaScript|1685|5|4
.\src\_00\output\Swift\HeroTransitions~Hero\docs\docsets\Hero.docset\Contents\Resources\Documents\Classes\HeroTransition.html|HeroTransitions|Hero|HeroTransition.html|HTML|1558|0|115
.\src\_00\output\Swift\HeroTransitions~Hero\docs\Structs\HeroTargetState.html|HeroTransitions|Hero|HeroTargetState.html|HTML|1376|0|95
.\src\_00\output\Swift\HeroTransitions~Hero\docs\docsets\Hero.docset\Contents\Resources\Documents\Classes\HeroPlugin.html|HeroTransitions|Hero|HeroPlugin.html|HTML|885|0|56
.\src\_00\output\Swift\HeroTransitions~Hero\docs\docsets\Hero.docset\Contents\Resources\Documents\Classes\HeroExtension.html|HeroTransitions|Hero|HeroExtension.html|HTML|884|0|56
.\src\_00\output\Swift\HeroTransitions~Hero\LegacyExamples\Base.lproj\Main.storyboard|HeroTransitions|Hero|Main.storyboard|XML|798|3|0
.\src\_00\output\Swift\HeroTransitions~Hero\docs\Enums\HeroDefaultAnimationType.html|HeroTransitions|Hero|HeroDefaultAnimationType.html|HTML|788|0|53
.\src\_00\output\Swift\HeroTransitions~Hero\docs\docsets\Hero.docset\Contents\Resources\Documents\Classes.html|HeroTransitions|Hero|Classes.html|HTML|741|0|46
.\src\_00\output\Swift\HeroTransitions~Hero\docs\Structs\HeroConditionalContext.html|HeroTransitions|Hero|HeroConditionalContext.html|HTML|617|0|41
.\src\_00\output\Swift\HeroTransitions~Hero\docs\Extensions\UIViewController.html|HeroTransitions|Hero|UIViewController.html|HTML|590|0|39
.\src\_00\output\Swift\HeroTransitions~Hero\docs\docsets\Hero.docset\Contents\Resources\Documents\Classes\HeroContext.html|HeroTransitions|Hero|HeroContext.html|HTML|573|0|37
