path|owner|project|file|language|code|comment|blank
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/KingfisherManagerTests.swift|onevcat|Kingfisher|KingfisherManagerTests.swift|Swift|1408|50|289
./src/_00/output/Swift/onevcat~Kingfisher/Demo/Demo/Kingfisher-Demo/Base.lproj/Main.storyboard|onevcat|Kingfisher|Main.storyboard|XML|1229|20|0
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Documentation.docc/CHANGELOG.md|onevcat|Kingfisher|CHANGELOG.md|Markdown|1217|0|664
./src/_00/output/Swift/onevcat~Kingfisher/Demo/Demo/Kingfisher-macOS-Demo/Base.lproj/Main.storyboard|onevcat|Kingfisher|Main.storyboard|XML|812|5|0
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/ImageCacheTests.swift|onevcat|Kingfisher|ImageCacheTests.swift|Swift|787|86|141
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Cache/ImageCache.swift|onevcat|Kingfisher|ImageCache.swift|Swift|735|464|109
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/ImageViewExtensionTests.swift|onevcat|Kingfisher|ImageViewExtensionTests.swift|Swift|716|33|181
./src/_00/output/Swift/onevcat~Kingfisher/Sources/General/KingfisherManager.swift|onevcat|Kingfisher|KingfisherManager.swift|Swift|656|217|99
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Views/AnimatedImageView.swift|onevcat|Kingfisher|AnimatedImageView.swift|Swift|594|166|119
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/ImageDownloaderTests.swift|onevcat|Kingfisher|ImageDownloaderTests.swift|Swift|565|34|138
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Image/ImageDrawing.swift|onevcat|Kingfisher|ImageDrawing.swift|Swift|445|191|77
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Image/ImageProcessor.swift|onevcat|Kingfisher|ImageProcessor.swift|Swift|436|308|130
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Cache/DiskStorage.swift|onevcat|Kingfisher|DiskStorage.swift|Swift|430|165|81
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Networking/ImageDownloader.swift|onevcat|Kingfisher|ImageDownloader.swift|Swift|390|205|76
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Extensions/ImageView+Kingfisher.swift|onevcat|Kingfisher|ImageView+Kingfisher.swift|Swift|310|194|44
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Image/Image.swift|onevcat|Kingfisher|Image.swift|Swift|304|109|40
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Extensions/HasImageComponent+Kingfisher.swift|onevcat|Kingfisher|HasImageComponent+Kingfisher.swift|Swift|291|176|32
./src/_00/output/Swift/onevcat~Kingfisher/Sources/General/KFOptionsSetter.swift|onevcat|Kingfisher|KFOptionsSetter.swift|Swift|287|455|61
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/ImageExtensionTests.swift|onevcat|Kingfisher|ImageExtensionTests.swift|Swift|286|29|54
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/ImagePrefetcherTests.swift|onevcat|Kingfisher|ImagePrefetcherTests.swift|Swift|278|25|57
./src/_00/output/Swift/onevcat~Kingfisher/Sources/General/KingfisherError.swift|onevcat|Kingfisher|KingfisherError.swift|Swift|275|321|68
./src/_00/output/Swift/onevcat~Kingfisher/Sources/General/KF.swift|onevcat|Kingfisher|KF.swift|Swift|250|157|52
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Image/ImageProgressive.swift|onevcat|Kingfisher|ImageProgressive.swift|Swift|246|69|58
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Networking/ImagePrefetcher.swift|onevcat|Kingfisher|ImagePrefetcher.swift|Swift|222|117|47
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/RetryStrategyTests.swift|onevcat|Kingfisher|RetryStrategyTests.swift|Swift|204|26|38
./src/_00/output/Swift/onevcat~Kingfisher/Sources/Networking/SessionDelegate.swift|onevcat|Kingfisher|SessionDelegate.swift|Swift|202|30|38
./src/_00/output/Swift/onevcat~Kingfisher/Tests/KingfisherTests/KingfisherTestHelper.swift|onevcat|Kingfisher|KingfisherTestHelper.swift|Swift|196|28|33
