path|owner|project|file|language|code|comment|blank
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Base.lproj/Main.storyboard|rxhanson|Rectangle|Main.storyboard|XML|4302|12|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowAction.swift|rxhanson|Rectangle|WindowAction.swift|Swift|732|12|47
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/RectangleLauncher/Base.lproj/Main.storyboard|rxhanson|Rectangle|Main.storyboard|XML|683|1|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/AppDelegate.swift|rxhanson|Rectangle|AppDelegate.swift|Swift|481|12|106
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Defaults.swift|rxhanson|Rectangle|Defaults.swift|Swift|414|7|51
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/SnappingManager.swift|rxhanson|Rectangle|SnappingManager.swift|Swift|402|12|56
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/AccessibilityElement.swift|rxhanson|Rectangle|AccessibilityElement.swift|Swift|344|13|65
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/TerminalCommands.md|rxhanson|Rectangle|TerminalCommands.md|Markdown|339|0|156
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/PrefsWindow/SettingsViewController.swift|rxhanson|Rectangle|SettingsViewController.swift|Swift|336|12|80
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/WindowCalculation.swift|rxhanson|Rectangle|WindowCalculation.swift|Swift|228|8|27
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/TodoMode/TodoManager.swift|rxhanson|Rectangle|TodoManager.swift|Swift|196|13|38
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowManager.swift|rxhanson|Rectangle|WindowManager.swift|Swift|156|7|43
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/PrefsWindow/SnapAreaViewController.swift|rxhanson|Rectangle|SnapAreaViewController.swift|Swift|153|7|26
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/MultiWindow/MultiWindowManager.swift|rxhanson|Rectangle|MultiWindowManager.swift|Swift|137|16|36
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/ScreenDetection.swift|rxhanson|Rectangle|ScreenDetection.swift|Swift|137|7|29
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/SnapAreaModel.swift|rxhanson|Rectangle|SnapAreaModel.swift|Swift|132|7|24
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/PrefsWindow/PrefsViewController.swift|rxhanson|Rectangle|PrefsViewController.swift|Swift|122|9|28
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/README.md|rxhanson|Rectangle|README.md|Markdown|116|0|64
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/ChangeSizeCalculation.swift|rxhanson|Rectangle|ChangeSizeCalculation.swift|Swift|114|9|30
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/PrefsWindow/Config.swift|rxhanson|Rectangle|Config.swift|Swift|106|7|19
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/ApplicationToggle.swift|rxhanson|Rectangle|ApplicationToggle.swift|Swift|105|8|19
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle.xcodeproj/xcshareddata/xcschemes/Rectangle.xcscheme|rxhanson|Rectangle|Rectangle.xcscheme|XML|97|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Logging/LogViewer.storyboard|rxhanson|Rectangle|LogViewer.storyboard|XML|97|2|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/CycleSize.swift|rxhanson|Rectangle|CycleSize.swift|Swift|96|13|21
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/ShortcutManager.swift|rxhanson|Rectangle|ShortcutManager.swift|Swift|94|8|28
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/MacTilingDefaults.swift|rxhanson|Rectangle|MacTilingDefaults.swift|Swift|93|9|19
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/CompoundSnapArea/CompoundSnapArea.swift|rxhanson|Rectangle|CompoundSnapArea.swift|Swift|86|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/EventMonitor.swift|rxhanson|Rectangle|EventMonitor.swift|Swift|85|7|16
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Logging/LogViewer.swift|rxhanson|Rectangle|LogViewer.swift|Swift|84|8|26
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/StageUtil.swift|rxhanson|Rectangle|StageUtil.swift|Swift|79|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopCenterSixthCalculation.swift|rxhanson|Rectangle|TopCenterSixthCalculation.swift|Swift|76|7|15
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/AXExtension.swift|rxhanson|Rectangle|AXExtension.swift|Swift|73|6|16
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/FootprintWindow.swift|rxhanson|Rectangle|FootprintWindow.swift|Swift|72|8|12
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomCenterSixthCalculation.swift|rxhanson|Rectangle|BottomCenterSixthCalculation.swift|Swift|72|7|14
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/CompoundSnapArea/ThirdsCompoundCalculation.swift|rxhanson|Rectangle|ThirdsCompoundCalculation.swift|Swift|71|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/TitleBarManager.swift|rxhanson|Rectangle|TitleBarManager.swift|Swift|70|6|6
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/SixthsRepeated.swift|rxhanson|Rectangle|SixthsRepeated.swift|Swift|70|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Assets.xcassets/AppIcon.appiconset/Contents.json|rxhanson|Rectangle|Contents.json|JSON|68|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/MoveLeftRightCalculation.swift|rxhanson|Rectangle|MoveLeftRightCalculation.swift|Swift|64|11|25
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/TimeoutCache.swift|rxhanson|Rectangle|TimeoutCache.swift|Swift|63|6|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/LeftRightHalfCalculation.swift|rxhanson|Rectangle|LeftRightHalfCalculation.swift|Swift|62|8|19
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/RectangleLauncher/Assets.xcassets/AppIcon.appiconset/Contents.json|rxhanson|Rectangle|Contents.json|JSON|58|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/CODE_OF_CONDUCT.md|rxhanson|Rectangle|CODE_OF_CONDUCT.md|Markdown|57|0|19
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/NinthsRepeated.swift|rxhanson|Rectangle|NinthsRepeated.swift|Swift|55|7|6
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/WindowUtil.swift|rxhanson|Rectangle|WindowUtil.swift|Swift|53|6|4
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Info.plist|rxhanson|Rectangle|Info.plist|XML|51|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/EighthsRepeated.swift|rxhanson|Rectangle|EighthsRepeated.swift|Swift|51|7|6
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/HalfOrDoubleDimensionCalculation.swift|rxhanson|Rectangle|HalfOrDoubleDimensionCalculation.swift|Swift|51|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/CompoundSnapArea/SixthsCompoundCalculation.swift|rxhanson|Rectangle|SixthsCompoundCalculation.swift|Swift|49|7|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/CompoundSnapArea/HalvesCompoundCalculation.swift|rxhanson|Rectangle|HalvesCompoundCalculation.swift|Swift|48|7|16
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/FirstFourthCalculation.swift|rxhanson|Rectangle|FirstFourthCalculation.swift|Swift|48|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/RectangleStatusItem.swift|rxhanson|Rectangle|RectangleStatusItem.swift|Swift|46|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/GapCalculation.swift|rxhanson|Rectangle|GapCalculation.swift|Swift|46|7|17
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/SubsequentExecutionMode.swift|rxhanson|Rectangle|SubsequentExecutionMode.swift|Swift|45|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/LastFourthCalculation.swift|rxhanson|Rectangle|LastFourthCalculation.swift|Swift|45|7|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/FirstThirdCalculation.swift|rxhanson|Rectangle|FirstThirdCalculation.swift|Swift|43|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/LastThirdCalculation.swift|rxhanson|Rectangle|LastThirdCalculation.swift|Swift|43|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/NextPrevDisplayCalculation.swift|rxhanson|Rectangle|NextPrevDisplayCalculation.swift|Swift|40|7|15
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/.github/workflows/build.yml|rxhanson|Rectangle|build.yml|YAML|39|0|5
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Popover/MessageView.xib|rxhanson|Rectangle|MessageView.xib|XML|39|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/SecondFourthCalculation.swift|rxhanson|Rectangle|SecondFourthCalculation.swift|Swift|39|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/ThirdFourthCalculation.swift|rxhanson|Rectangle|ThirdFourthCalculation.swift|Swift|39|7|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/CenterCalculation.swift|rxhanson|Rectangle|CenterCalculation.swift|Swift|37|7|16
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/CenterHalfCalculation.swift|rxhanson|Rectangle|CenterHalfCalculation.swift|Swift|37|11|19
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopRightSixthCalculation.swift|rxhanson|Rectangle|TopRightSixthCalculation.swift|Swift|37|7|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Snapping/CompoundSnapArea/FourthsCompoundCalculation.swift|rxhanson|Rectangle|FourthsCompoundCalculation.swift|Swift|36|11|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/MoveUpDownCalculation.swift|rxhanson|Rectangle|MoveUpDownCalculation.swift|Swift|36|7|16
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/RectangleLauncher/Info.plist|rxhanson|Rectangle|Info.plist|XML|36|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomCenterLeftEighthCalculation.swift|rxhanson|Rectangle|BottomCenterLeftEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomCenterNinthCalculation.swift|rxhanson|Rectangle|BottomCenterNinthCalculation.swift|Swift|35|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomCenterRightEighthCalculation.swift|rxhanson|Rectangle|BottomCenterRightEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomLeftEighthCalculation.swift|rxhanson|Rectangle|BottomLeftEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomLeftNinthCalculation.swift|rxhanson|Rectangle|BottomLeftNinthCalculation.swift|Swift|35|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomLeftThirdCalculation.swift|rxhanson|Rectangle|BottomLeftThirdCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomRightEighthCalculation.swift|rxhanson|Rectangle|BottomRightEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomRightNinthCalculation.swift|rxhanson|Rectangle|BottomRightNinthCalculation.swift|Swift|35|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomRightSixthCalculation.swift|rxhanson|Rectangle|BottomRightSixthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomRightThirdCalculation.swift|rxhanson|Rectangle|BottomRightThirdCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/HorizontalThirdsRepeated.swift|rxhanson|Rectangle|HorizontalThirdsRepeated.swift|Swift|35|7|6
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/MiddleCenterNinthCalculation.swift|rxhanson|Rectangle|MiddleCenterNinthCalculation.swift|Swift|35|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/MiddleLeftNinthCalculation.swift|rxhanson|Rectangle|MiddleLeftNinthCalculation.swift|Swift|35|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/MiddleRightNinthCalculation.swift|rxhanson|Rectangle|MiddleRightNinthCalculation.swift|Swift|35|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopCenterLeftEighthCalculation.swift|rxhanson|Rectangle|TopCenterLeftEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopCenterNinthCalculation.swift|rxhanson|Rectangle|TopCenterNinthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopCenterRightEighthCalculation.swift|rxhanson|Rectangle|TopCenterRightEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopLeftEighthCalculation.swift|rxhanson|Rectangle|TopLeftEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopLeftNinthCalculation.swift|rxhanson|Rectangle|TopLeftNinthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopLeftSixthCalculation.swift|rxhanson|Rectangle|TopLeftSixthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopLeftThirdCalculation.swift|rxhanson|Rectangle|TopLeftThirdCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopRightEighthCalculation.swift|rxhanson|Rectangle|TopRightEighthCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopRightNinthCalculation.swift|rxhanson|Rectangle|TopRightNinthCalculation.swift|Swift|35|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/TopRightThirdCalculation.swift|rxhanson|Rectangle|TopRightThirdCalculation.swift|Swift|35|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/RectangleLauncher/AppDelegate.swift|rxhanson|Rectangle|AppDelegate.swift|Swift|34|7|7
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/AccessibilityAuthorization/AccessibilityAuthorization.swift|rxhanson|Rectangle|AccessibilityAuthorization.swift|Swift|33|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/NotificationExtension.swift|rxhanson|Rectangle|NotificationExtension.swift|Swift|33|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/BottomLeftSixthCalculation.swift|rxhanson|Rectangle|BottomLeftSixthCalculation.swift|Swift|33|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/AlertUtil.swift|rxhanson|Rectangle|AlertUtil.swift|Swift|30|7|5
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/AccessibilityAuthorization/AccessibilityWindowController.swift|rxhanson|Rectangle|AccessibilityWindowController.swift|Swift|29|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Popover/MessageView.swift|rxhanson|Rectangle|MessageView.swift|Swift|28|7|10
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowActionCategory.swift|rxhanson|Rectangle|WindowActionCategory.swift|Swift|28|7|4
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowMover/QuantizedWindowMover.swift|rxhanson|Rectangle|QuantizedWindowMover.swift|Swift|27|7|3
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/InternetAccessPolicy.plist|rxhanson|Rectangle|InternetAccessPolicy.plist|XML|25|0|0
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/Utilities/RunLoopThread.swift|rxhanson|Rectangle|RunLoopThread.swift|Swift|25|6|5
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/FirstThreeFourthsCalculation.swift|rxhanson|Rectangle|FirstThreeFourthsCalculation.swift|Swift|25|7|9
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/FirstTwoThirdsCalculation.swift|rxhanson|Rectangle|FirstTwoThirdsCalculation.swift|Swift|25|7|11
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/LastThreeFourthsCalculation.swift|rxhanson|Rectangle|LastThreeFourthsCalculation.swift|Swift|25|7|8
./src/_00.1/output-0-clone/Swift/rxhanson~Rectangle/Rectangle/WindowCalculation/LastTwoThirdsCalculation.swift|rxhanson|Rectangle|LastTwoThirdsCalculation.swift|Swift|25|7|9
