path|owner|project|file|language|code|comment|blank
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utilities.test.ts|tailwindlabs|tailwindcss|utilities.test.ts|TypeScript|13006|77|1865
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\pnpm-lock.yaml|tailwindlabs|tailwindcss|pnpm-lock.yaml|YAML|4434|0|1224
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\utilities.ts|tailwindlabs|tailwindcss|utilities.ts|TypeScript|3790|320|539
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\variants.test.ts|tailwindlabs|tailwindcss|variants.test.ts|TypeScript|1973|8|341
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\index.test.ts|tailwindlabs|tailwindcss|index.test.ts|TypeScript|1605|28|230
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\oxide\src\parser.rs|tailwindlabs|tailwindcss|parser.rs|Rust|1066|145|216
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\candidate.test.ts|tailwindlabs|tailwindcss|candidate.test.ts|TypeScript|1031|0|123
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\css-parser.test.ts|tailwindlabs|tailwindcss|css-parser.test.ts|TypeScript|942|27|69
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\variants.ts|tailwindlabs|tailwindcss|variants.ts|TypeScript|563|104|131
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\theme.css|tailwindlabs|tailwindcss|theme.css|CSS|433|17|21
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\crates\oxide\src\lib.rs|tailwindlabs|tailwindcss|lib.rs|Rust|368|64|71
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\candidate.ts|tailwindlabs|tailwindcss|candidate.ts|TypeScript|328|240|101
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\src\property-order.ts|tailwindlabs|tailwindcss|property-order.ts|TypeScript|277|7|54
.\src\_00\output\TypeScript\tailwindlabs~tailwindcss\packages\tailwindcss\tests\ui.spec.ts|tailwindlabs|tailwindcss|ui.spec.ts|TypeScript|277|9|51
