path|owner|project|language|code
./src/_00/output/C/arendst~Tasmota/lib/libesp32_ml/tf_lite_esp32/examples/person_detection/person_detect_model_data.cpp|arendst|Tasmota|C++|23125
./src/_00/output/C/arendst~Tasmota/lib/libesp32/JPEGDEC/src/jpeg.inl|arendst|Tasmota|C++|4498
./src/_00/output/C/arendst~Tasmota/lib/lib_basic/IRremoteESP8266/IRremoteESP8266/src/IRac.cpp|arendst|Tasmota|C++|3654
./src/_00/output/C/arendst~Tasmota/lib/lib_display/UDisplay/uDisplay.cpp|arendst|Tasmota|C++|3516
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_simsun_16_cjk.c|arendst|Tasmota|C|21238
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_simsun_14_cjk.c|arendst|Tasmota|C|17873
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_48.c|arendst|Tasmota|C|12203
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_46.c|arendst|Tasmota|C|11502
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_44.c|arendst|Tasmota|C|10550
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_42.c|arendst|Tasmota|C|9724
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_40.c|arendst|Tasmota|C|8882
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_38.c|arendst|Tasmota|C|8034
./src/_00/output/C/arendst~Tasmota/lib/lib_display/Display_Renderer-gemu-1.0/components/epaper-29-ws/epaper_font.c|arendst|Tasmota|C|7636
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_36.c|arendst|Tasmota|C|7289
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_34.c|arendst|Tasmota|C|6645
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/LVGL_assets/src/fonts/roboto-latin1/robotocondensed_regular_48_latin1.c|arendst|Tasmota|C|6346
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/libs/lodepng/lodepng.c|arendst|Tasmota|C|5909
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_32.c|arendst|Tasmota|C|5846
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_dejavu_16_persian_hebrew.c|arendst|Tasmota|C|5369
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_30.c|arendst|Tasmota|C|5357
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_28.c|arendst|Tasmota|C|4775
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/freetype/src/truetype/ttinterp.c|arendst|Tasmota|C|4569
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/LVGL_assets/src/fonts/roboto-latin1/robotocondensed_regular_36_latin1.c|arendst|Tasmota|C|4506
./src/_00/output/C/arendst~Tasmota/lib/libesp32_lvgl/lvgl/src/font/lv_font_montserrat_26.c|arendst|Tasmota|C|4226
