path|owner|project|language|code
./src/_00/output/Go/hashicorp~terraform/internal/terraform/context_apply_test.go|hashicorp|terraform|Go|10649
./src/_00/output/Go/hashicorp~terraform/internal/command/jsonformat/plan_test.go|hashicorp|terraform|Go|7960
./src/_00/output/Go/hashicorp~terraform/internal/tfplugin5/tfplugin5.pb.go|hashicorp|terraform|Go|7431
./src/_00/output/Go/hashicorp~terraform/internal/rpcapi/terraform1/stacks/stacks.pb.go|hashicorp|terraform|Go|7219
./src/_00/output/Go/hashicorp~terraform/internal/tfplugin6/tfplugin6.pb.go|hashicorp|terraform|Go|6864
./src/_00/output/Go/hashicorp~terraform/internal/terraform/context_plan_test.go|hashicorp|terraform|Go|6120
./src/_00/output/Go/hashicorp~terraform/internal/stacks/stackruntime/plan_test.go|hashicorp|terraform|Go|5125
./src/_00/output/Go/hashicorp~terraform/internal/terraform/context_plan2_test.go|hashicorp|terraform|Go|5093
./src/_00/output/Go/hashicorp~terraform/internal/legacy/helper/schema/schema_test.go|hashicorp|terraform|Go|4587
./src/_00/output/Go/hashicorp~terraform/internal/rpcapi/terraform1/dependencies/dependencies.pb.go|hashicorp|terraform|Go|4064
./src/_00/output/Go/hashicorp~terraform/internal/stacks/stackruntime/apply_test.go|hashicorp|terraform|Go|3695
./src/_00/output/Go/hashicorp~terraform/internal/terraform/context_apply_deferred_test.go|hashicorp|terraform|Go|3412
./src/_00/output/Go/hashicorp~terraform/internal/backend/remote-state/s3/backend_test.go|hashicorp|terraform|Go|3366
./src/_00/output/Go/hashicorp~terraform/internal/command/views/test_test.go|hashicorp|terraform|Go|3155
./src/_00/output/Go/hashicorp~terraform/internal/terraform/context_apply2_test.go|hashicorp|terraform|Go|3123
./src/_00/output/Go/hashicorp~terraform/internal/legacy/helper/schema/shims_test.go|hashicorp|terraform|Go|2977
./src/_00/output/Go/hashicorp~terraform/internal/legacy/helper/schema/resource_data_test.go|hashicorp|terraform|Go|2931
./src/_00/output/Go/hashicorp~terraform/internal/command/jsonformat/differ/differ_test.go|hashicorp|terraform|Go|2841
./src/_00/output/Go/hashicorp~terraform/internal/plans/objchange/objchange_test.go|hashicorp|terraform|Go|2670
./src/_00/output/Go/hashicorp~terraform/internal/terraform/context_validate_test.go|hashicorp|terraform|Go|2653
./src/_00/output/Go/hashicorp~terraform/internal/providercache/installer_test.go|hashicorp|terraform|Go|2529
./src/_00/output/Go/hashicorp~terraform/internal/command/init_test.go|hashicorp|terraform|Go|2523
./src/_00/output/Go/hashicorp~terraform/internal/command/apply_test.go|hashicorp|terraform|Go|2267
./src/_00/output/Go/hashicorp~terraform/internal/command/jsonformat/computed/renderers/renderer_test.go|hashicorp|terraform|Go|2216
./src/_00/output/Go/hashicorp~terraform/internal/backend/remote-state/s3/backend_complete_test.go|hashicorp|terraform|Go|2061
