path|owner|project|language|code
./src/_00/output/Perl/holzschu~a-shell/Resources/Perl/unicore/TestProp.pl|holzschu|a-shell|Perl|164839
./src/_00/output/Perl/holzschu~a-shell/Resources/Perl/unicore/Name.pl|holzschu|a-shell|Perl|65466
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/terser/dist/bundle.js|holzschu|a-shell|JavaScript|20148
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/katex/dist/katex.js|holzschu|a-shell|JavaScript|13773
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/katex/dist/katex.mjs|holzschu|a-shell|JavaScript|13601
./src/_00/output/Perl/holzschu~a-shell/hterm_all.js|holzschu|a-shell|JavaScript|12226
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/csso/dist/csso.js|holzschu|a-shell|JavaScript|11599
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/@babel/parser/lib/index.js|holzschu|a-shell|JavaScript|10406
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/psl/dist/psl.js|holzschu|a-shell|JavaScript|9265
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/csso/node_modules/css-tree/dist/csstree.js|holzschu|a-shell|JavaScript|9085
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/css-tree/dist/csstree.js|holzschu|a-shell|JavaScript|9028
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/core-js/client/core.js|holzschu|a-shell|JavaScript|6658
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/static-eval/node_modules/esprima/dist/esprima.js|holzschu|a-shell|JavaScript|6355
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/core-js/client/shim.js|holzschu|a-shell|JavaScript|6336
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/ajv/dist/ajv.bundle.js|holzschu|a-shell|JavaScript|6128
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/esprima/dist/esprima.js|holzschu|a-shell|JavaScript|6054
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/core-js/client/library.js|holzschu|a-shell|JavaScript|5947
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/lodash/lodash.js|holzschu|a-shell|JavaScript|5936
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/htmlnano/node_modules/terser/tools/domprops.js|holzschu|a-shell|JavaScript|5619
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/terser/tools/domprops.js|holzschu|a-shell|JavaScript|5605
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/acorn/dist/acorn.js|holzschu|a-shell|JavaScript|3850
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/jsdom/node_modules/acorn/dist/acorn.js|holzschu|a-shell|JavaScript|3829
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/acorn/dist/acorn.mjs|holzschu|a-shell|JavaScript|3822
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/@wasmer/wasmfs/node_modules/pako/dist/pako.js|holzschu|a-shell|JavaScript|3806
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/jsdom/node_modules/acorn/dist/acorn.mjs|holzschu|a-shell|JavaScript|3801
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/pako/dist/pako.js|holzschu|a-shell|JavaScript|3800
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/@babel/types/lib/validators/generated/index.js|holzschu|a-shell|JavaScript|3715
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/es-abstract/test/tests.js|holzschu|a-shell|JavaScript|3512
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/js-yaml/dist/js-yaml.js|holzschu|a-shell|JavaScript|2834
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/bn.js/lib/bn.js|holzschu|a-shell|JavaScript|2711
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/katex/dist/contrib/mhchem.js|holzschu|a-shell|JavaScript|2686
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/katex/dist/contrib/mhchem.mjs|holzschu|a-shell|JavaScript|2618
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/svgo/plugins/_collections.js|holzschu|a-shell|JavaScript|2526
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/parse5/lib/parser/index.js|holzschu|a-shell|JavaScript|2408
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/static-eval/node_modules/escodegen/escodegen.js|holzschu|a-shell|JavaScript|2102
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/escodegen/escodegen.js|holzschu|a-shell|JavaScript|2085
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/katex/src/fontMetricsData.js|holzschu|a-shell|JavaScript|2076
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/@wasmer/wasmfs/node_modules/pako/dist/pako_deflate.js|holzschu|a-shell|JavaScript|2062
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/pako/dist/pako_deflate.js|holzschu|a-shell|JavaScript|2059
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/tweetnacl/nacl-fast.js|holzschu|a-shell|JavaScript|2053
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/memfs/lib/volume.js|holzschu|a-shell|JavaScript|2030
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/@wasmer/wasmfs/node_modules/pako/dist/pako_inflate.js|holzschu|a-shell|JavaScript|2000
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/pako/dist/pako_inflate.js|holzschu|a-shell|JavaScript|1994
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/node-forge/lib/tls.js|holzschu|a-shell|JavaScript|1993
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/node-forge/lib/x509.js|holzschu|a-shell|JavaScript|1985
./src/_00/output/Perl/holzschu~a-shell/script.js|holzschu|a-shell|JavaScript|1978
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/jsdom/lib/jsdom/living/generated/Document.js|holzschu|a-shell|JavaScript|1966
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/source-map/dist/source-map.debug.js|holzschu|a-shell|JavaScript|1818
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/source-map/dist/source-map.js|holzschu|a-shell|JavaScript|1818
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/postcss-calc/dist/parser.js|holzschu|a-shell|JavaScript|1797
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/parse5/lib/tokenizer/index.js|holzschu|a-shell|JavaScript|1769
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/snapdragon/node_modules/source-map/dist/source-map.debug.js|holzschu|a-shell|JavaScript|1755
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/snapdragon/node_modules/source-map/dist/source-map.js|holzschu|a-shell|JavaScript|1755
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/@babel/helpers/lib/helpers.js|holzschu|a-shell|JavaScript|1655
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/cssstyle/lib/properties.js|holzschu|a-shell|JavaScript|1648
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/jsdom/lib/jsdom/level3/xpath.js|holzschu|a-shell|JavaScript|1580
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/@wasmer/wasi/lib/index.js|holzschu|a-shell|JavaScript|1522
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/node-forge/lib/util.js|holzschu|a-shell|JavaScript|1510
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/katex/contrib/mhchem/mhchem.js|holzschu|a-shell|JavaScript|1452
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/bl/node_modules/buffer/index.js|holzschu|a-shell|JavaScript|1402
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/mermaid/dist/mermaid.min.js|holzschu|a-shell|JavaScript|1388
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/buffer/index.js|holzschu|a-shell|JavaScript|1387
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/nwsapi/src/nwsapi.js|holzschu|a-shell|JavaScript|1385
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/buffer-es6/index.js|holzschu|a-shell|JavaScript|1383
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/sax/lib/sax.js|holzschu|a-shell|JavaScript|1373
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/saxes/lib/saxes.js|holzschu|a-shell|JavaScript|1364
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/url/test.js|holzschu|a-shell|JavaScript|1351
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/@babel/core/node_modules/json5/dist/index.js|holzschu|a-shell|JavaScript|1315
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/@iarna/toml/lib/toml-parser.js|holzschu|a-shell|JavaScript|1276
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/q/q.js|holzschu|a-shell|JavaScript|1235
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/request/request.js|holzschu|a-shell|JavaScript|1232
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/js-yaml/lib/js-yaml/loader.js|holzschu|a-shell|JavaScript|1214
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/node-releases/node_modules/semver/semver.js|holzschu|a-shell|JavaScript|1206
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/@babel/types/lib/asserts/generated/index.js|holzschu|a-shell|JavaScript|1155
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/jsdom/lib/jsdom/living/generated/Element.js|holzschu|a-shell|JavaScript|1152
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/buffer/test/node/test-buffer.js|holzschu|a-shell|JavaScript|1150
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/jsdom/lib/jsdom/living/generated/HTMLElement.js|holzschu|a-shell|JavaScript|1143
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/buffer/test/node/test-buffer-alloc.js|holzschu|a-shell|JavaScript|1129
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/lodash/core.js|holzschu|a-shell|JavaScript|1119
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/semver/semver.js|holzschu|a-shell|JavaScript|1117
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/lodash.sortby/index.js|holzschu|a-shell|JavaScript|1108
./src/_00/output/Perl/holzschu~a-shell/Resources/node_modules/pako/lib/zlib/inflate.js|holzschu|a-shell|JavaScript|1105
./src/_00/output/Perl/holzschu~a-shell/Resources_mini/node_modules/@wasmer/wasmfs/node_modules/pako/lib/zlib/inflate.js|holzschu|a-shell|JavaScript|1105
