path|owner|project|language|code
./src/_00/output/Python/pytorch~pytorch/aten/src/ATen/native/SobolEngineOpsUtils.cpp|pytorch|pytorch|C++|42410
./src/_00/output/Python/pytorch~pytorch/test/cpp/lazy/test_lazy_ops.cpp|pytorch|pytorch|C++|10856
./src/_00/output/Python/pytorch~pytorch/benchmarks/static_runtime/test_generated_ops.cc|pytorch|pytorch|C++|7224
./src/_00/output/Python/pytorch~pytorch/caffe2/perfkernels/embedding_lookup_idx_sve.cc|pytorch|pytorch|C++|6607
./src/_00/output/Python/pytorch~pytorch/aten/src/ATen/test/vulkan_api_test.cpp|pytorch|pytorch|C++|6186
./src/_00/output/Python/pytorch~pytorch/test/cpp/tensorexpr/test_loopnest.cpp|pytorch|pytorch|C++|5108
./src/_00/output/Python/pytorch~pytorch/torch/csrc/autograd/FunctionsManual.cpp|pytorch|pytorch|C++|4957
./src/_00/output/Python/pytorch~pytorch/torch/csrc/jit/runtime/static/generated_ops.cpp|pytorch|pytorch|C++|4957
./src/_00/output/Python/pytorch~pytorch/test/cpp/api/modules.cpp|pytorch|pytorch|C++|4881
./src/_00/output/Python/pytorch~pytorch/torch/csrc/jit/frontend/ir_emitter.cpp|pytorch|pytorch|C++|4615
./src/_00/output/Python/pytorch~pytorch/caffe2/perfkernels/embedding_lookup_idx_avx2.cc|pytorch|pytorch|C++|4157
./src/_00/output/Python/pytorch~pytorch/test/cpp/tensorexpr/test_simplify.cpp|pytorch|pytorch|C++|4020
./src/_00/output/Python/pytorch~pytorch/torch/csrc/distributed/c10d/ProcessGroupNCCL.cpp|pytorch|pytorch|C++|3841
./src/_00/output/Python/pytorch~pytorch/torch/csrc/dynamo/guards.cpp|pytorch|pytorch|C++|3825
./src/_00/output/Python/pytorch~pytorch/aten/src/ATen/native/quantized/cpu/kernels/QuantizedOpKernels.cpp|pytorch|pytorch|C++|3606
./src/_00/output/Python/pytorch~pytorch/torch/testing/_internal/common_methods_invocations.py|pytorch|pytorch|Python|20405
./src/_00/output/Python/pytorch~pytorch/test/test_jit.py|pytorch|pytorch|Python|11774
./src/_00/output/Python/pytorch~pytorch/test/onnx/test_pytorch_onnx_onnxruntime.py|pytorch|pytorch|Python|11414
./src/_00/output/Python/pytorch~pytorch/test/test_autograd.py|pytorch|pytorch|Python|10546
./src/_00/output/Python/pytorch~pytorch/test/inductor/test_torchinductor.py|pytorch|pytorch|Python|10373
./src/_00/output/Python/pytorch~pytorch/test/test_nn.py|pytorch|pytorch|Python|10271
./src/_00/output/Python/pytorch~pytorch/test/test_mps.py|pytorch|pytorch|Python|9330
./src/_00/output/Python/pytorch~pytorch/test/dynamo/test_misc.py|pytorch|pytorch|Python|9070
./src/_00/output/Python/pytorch~pytorch/torch/utils/hipify/cuda_to_hip_mappings.py|pytorch|pytorch|Python|8660
./src/_00/output/Python/pytorch~pytorch/test/test_torch.py|pytorch|pytorch|Python|8285
./src/_00/output/Python/pytorch~pytorch/torch/testing/_internal/distributed/distributed_test.py|pytorch|pytorch|Python|8211
./src/_00/output/Python/pytorch~pytorch/test/quantization/fx/test_quantize_fx.py|pytorch|pytorch|Python|7834
./src/_00/output/Python/pytorch~pytorch/test/export/test_export.py|pytorch|pytorch|Python|7823
./src/_00/output/Python/pytorch~pytorch/torch/sparse/_triton_ops_meta.py|pytorch|pytorch|Python|7477
./src/_00/output/Python/pytorch~pytorch/test/test_nestedtensor.py|pytorch|pytorch|Python|6964
./src/_00/output/Python/pytorch~pytorch/test/quantization/core/test_quantized_op.py|pytorch|pytorch|Python|6699
./src/_00/output/Python/pytorch~pytorch/test/test_linalg.py|pytorch|pytorch|Python|6473
./src/_00/output/Python/pytorch~pytorch/test/distributions/test_distributions.py|pytorch|pytorch|Python|6262
./src/_00/output/Python/pytorch~pytorch/torch/_inductor/ir.py|pytorch|pytorch|Python|5748
./src/_00/output/Python/pytorch~pytorch/torch/_meta_registrations.py|pytorch|pytorch|Python|5548
./src/_00/output/Python/pytorch~pytorch/test/torch_np/numpy_tests/core/test_multiarray.py|pytorch|pytorch|Python|5350
./src/_00/output/Python/pytorch~pytorch/torch/onnx/symbolic_opset9.py|pytorch|pytorch|Python|5284
./src/_00/output/Python/pytorch~pytorch/torch/testing/_internal/distributed/rpc/rpc_test.py|pytorch|pytorch|Python|5038
./src/_00/output/Python/pytorch~pytorch/torch/_inductor/lowering.py|pytorch|pytorch|Python|5024
./src/_00/output/Python/pytorch~pytorch/torch/_refs/__init__.py|pytorch|pytorch|Python|5022
./src/_00/output/Python/pytorch~pytorch/test/functorch/test_vmap.py|pytorch|pytorch|Python|4989
./src/_00/output/Python/pytorch~pytorch/test/dynamo/test_repros.py|pytorch|pytorch|Python|4789
./src/_00/output/Python/pytorch~pytorch/test/functorch/test_aotdispatch.py|pytorch|pytorch|Python|4698
./src/_00/output/Python/pytorch~pytorch/test/inductor/s429861_repro.py|pytorch|pytorch|Python|4604
./src/_00/output/Python/pytorch~pytorch/test/functorch/test_control_flow.py|pytorch|pytorch|Python|4443
./src/_00/output/Python/pytorch~pytorch/test/test_sparse.py|pytorch|pytorch|Python|4293
./src/_00/output/Python/pytorch~pytorch/test/test_cuda.py|pytorch|pytorch|Python|4225
./src/_00/output/Python/pytorch~pytorch/torch/_decomp/decompositions.py|pytorch|pytorch|Python|4183
./src/_00/output/Python/pytorch~pytorch/torch/fx/experimental/symbolic_shapes.py|pytorch|pytorch|Python|4125
./src/_00/output/Python/pytorch~pytorch/torch/_inductor/codegen/cpp.py|pytorch|pytorch|Python|4038
./src/_00/output/Python/pytorch~pytorch/benchmarks/dynamo/common.py|pytorch|pytorch|Python|4037
./src/_00/output/Python/pytorch~pytorch/test/functorch/test_eager_transforms.py|pytorch|pytorch|Python|4031
./src/_00/output/Python/pytorch~pytorch/test/inductor/test_cpu_repro.py|pytorch|pytorch|Python|4021
./src/_00/output/Python/pytorch~pytorch/test/distributed/test_c10d_nccl.py|pytorch|pytorch|Python|3999
./src/_00/output/Python/pytorch~pytorch/test/test_serialization.py|pytorch|pytorch|Python|3710
./src/_00/output/Python/pytorch~pytorch/test/test_binary_ufuncs.py|pytorch|pytorch|Python|3694
./src/_00/output/Python/pytorch~pytorch/torch/testing/_internal/common_modules.py|pytorch|pytorch|Python|3637
./src/_00/output/Python/pytorch~pytorch/torch/testing/_internal/common_utils.py|pytorch|pytorch|Python|3627
./src/_00/output/Python/pytorch~pytorch/test/dynamo/test_higher_order_ops.py|pytorch|pytorch|Python|3608
./src/_00/output/Python/pytorch~pytorch/test/nn/test_convolution.py|pytorch|pytorch|Python|3546
./src/_00/output/Python/pytorch~pytorch/test/test_fx.py|pytorch|pytorch|Python|3527
./src/_00/output/Python/pytorch~pytorch/test/dynamo/test_export.py|pytorch|pytorch|Python|3421
./src/_00/output/Python/pytorch~pytorch/torch/nn/functional.py|pytorch|pytorch|Python|3374
