path|owner|project|file|language|code
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/ILPretty/FSharpUsing_Debug.cs|icsharpcode|ILSpy|FSharpUsing_Debug.cs|C#|59
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/CorTables/MemberRefTableTreeNode.cs|icsharpcode|ILSpy|MemberRefTableTreeNode.cs|C#|72
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Metadata/FullTypeNameSignatureDecoder.cs|icsharpcode|ILSpy|FullTypeNameSignatureDecoder.cs|C#|92
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/TextView/DecompilerTextView.cs|icsharpcode|ILSpy|DecompilerTextView.cs|C#|1233
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.BamlDecompiler/Handlers/Records/DeferableContentStartHandler.cs|icsharpcode|ILSpy|DeferableContentStartHandler.cs|C#|15
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/Pretty/CustomAttributeConflicts.cs|icsharpcode|ILSpy|CustomAttributeConflicts.cs|C#|97
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/CorTables/CustomAttributeTableTreeNode.cs|icsharpcode|ILSpy|CustomAttributeTableTreeNode.cs|C#|81
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/TypeSystem/ITypeDefinition.cs|icsharpcode|ILSpy|ITypeDefinition.cs|C#|22
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Metadata/SignatureBlobComparer.cs|icsharpcode|ILSpy|SignatureBlobComparer.cs|C#|168
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/NRTAttributes.cs|icsharpcode|ILSpy|NRTAttributes.cs|C#|19
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/ILPretty/Issue1256.cs|icsharpcode|ILSpy|Issue1256.cs|C#|16
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/TextView/DocumentationUIBuilder.cs|icsharpcode|ILSpy|DocumentationUIBuilder.cs|C#|524
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/CSharp/Syntax/ComposedType.cs|icsharpcode|ILSpy|ComposedType.cs|C#|231
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/Heaps/GuidHeapTreeNode.cs|icsharpcode|ILSpy|GuidHeapTreeNode.cs|C#|46
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/ILPretty/GuessAccessors.cs|icsharpcode|ILSpy|GuessAccessors.cs|C#|104
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Util/Index.cs|icsharpcode|ILSpy|Index.cs|C#|101
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/CorTables/EventMapTableTreeNode.cs|icsharpcode|ILSpy|EventMapTableTreeNode.cs|C#|89
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/DecompilationProgress.cs|icsharpcode|ILSpy|DecompilationProgress.cs|C#|11
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Util/TreeTraversal.cs|icsharpcode|ILSpy|TreeTraversal.cs|C#|80
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.BamlDecompiler/Handlers/Records/AssemblyInfoHandler.cs|icsharpcode|ILSpy|AssemblyInfoHandler.cs|C#|9
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/CSharp/Syntax/Expressions/ThisReferenceExpression.cs|icsharpcode|ILSpy|ThisReferenceExpression.cs|C#|37
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/MetadataTablesTreeNode.cs|icsharpcode|ILSpy|MetadataTablesTreeNode.cs|C#|138
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.ILSpyX/MermaidDiagrammer/Factory.FlatMembers.cs|icsharpcode|ILSpy|Factory.FlatMembers.cs|C#|54
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Disassembler/OpCodeInfo.cs|icsharpcode|ILSpy|OpCodeInfo.cs|C#|86
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Documentation/XmlDocumentationProvider.cs|icsharpcode|ILSpy|XmlDocumentationProvider.cs|C#|340
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/CSharp/Resolver/OverloadResolution.cs|icsharpcode|ILSpy|OverloadResolution.cs|C#|809
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/Ugly/NoDecimalConstants.Expected.cs|icsharpcode|ILSpy|NoDecimalConstants.Expected.cs|C#|13
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/Pretty/Issue1080.cs|icsharpcode|ILSpy|Issue1080.cs|C#|50
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.BamlDecompiler/Handlers/Records/PropertyTypeReferenceHandler.cs|icsharpcode|ILSpy|PropertyTypeReferenceHandler.cs|C#|42
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/Solution/ProjectItem.cs|icsharpcode|ILSpy|ProjectItem.cs|C#|16
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/TypeSystem/Implementation/DefaultAssemblyReference.cs|icsharpcode|ILSpy|DefaultAssemblyReference.cs|C#|57
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.BamlDecompiler/Handlers/Blocks/DocumentHandler.cs|icsharpcode|ILSpy|DocumentHandler.cs|C#|16
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.ILSpyX/LoadedPackage.cs|icsharpcode|ILSpy|LoadedPackage.cs|C#|277
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/IL/Transforms/TransformExpressionTrees.cs|icsharpcode|ILSpy|TransformExpressionTrees.cs|C#|1406
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/IL/Instructions/DeconstructInstruction.cs|icsharpcode|ILSpy|DeconstructInstruction.cs|C#|278
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/IL/Transforms/InterpolatedStringTransform.cs|icsharpcode|ILSpy|InterpolatedStringTransform.cs|C#|101
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/CSharp/Syntax/Statements/YieldReturnStatement.cs|icsharpcode|ILSpy|YieldReturnStatement.cs|C#|38
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler.Tests/TestCases/Pretty/AsyncUsing.cs|icsharpcode|ILSpy|AsyncUsing.cs|C#|56
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/LanguageSettings.cs|icsharpcode|ILSpy|LanguageSettings.cs|C#|88
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy.AddIn.Shared/Commands/ProjectReferenceForILSpy.cs|icsharpcode|ILSpy|ProjectReferenceForILSpy.cs|C#|59
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/CSharp/Syntax/Expressions/PointerReferenceExpression.cs|icsharpcode|ILSpy|PointerReferenceExpression.cs|C#|50
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/MetadataTableViews.xaml.cs|icsharpcode|ILSpy|MetadataTableViews.xaml.cs|C#|42
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.Decompiler/CSharp/Syntax/Expressions/UndocumentedExpression.cs|icsharpcode|ILSpy|UndocumentedExpression.cs|C#|64
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy/Metadata/MetadataProtocolHandler.cs|icsharpcode|ILSpy|MetadataProtocolHandler.cs|C#|32
./src/_00/output/C#/icsharpcode~ILSpy/ILSpy.Tests/Analyzers/TypeUsedByAnalyzerTests.cs|icsharpcode|ILSpy|TypeUsedByAnalyzerTests.cs|C#|36
./src/_00/output/C#/icsharpcode~ILSpy/ICSharpCode.BamlDecompiler/Baml/KnownThings.cs|icsharpcode|ILSpy|KnownThings.cs|C#|68
