path,owner,project,file,language,code
./src/_00/output/C++/protocolbuffers~protobuf/python/descriptor.c,protocolbuffers,protobuf,descriptor.c,C,1548
./src/_00/output/C++/protocolbuffers~protobuf/upb/reflection/message_reserved_range.c,protocolbuffers,protobuf,message_reserved_range.c,C,41
./src/_00/output/C++/protocolbuffers~protobuf/upb/wire/decode.c,protocolbuffers,protobuf,decode.c,C,1265
./src/_00/output/C++/protocolbuffers~protobuf/upb/mini_descriptor/internal/base92.c,protocolbuffers,protobuf,base92.c,C,17
./src/_00/output/C++/protocolbuffers~protobuf/upb/reflection/enum_reserved_range.c,protocolbuffers,protobuf,enum_reserved_range.c,C,39
./src/_00/output/C++/protocolbuffers~protobuf/third_party/utf8_range/naive.c,protocolbuffers,protobuf,naive.c,C,44
./src/_00/output/C++/protocolbuffers~protobuf/ruby/ext/google/protobuf_c/glue.c,protocolbuffers,protobuf,glue.c,C,52
./src/_00/output/C++/protocolbuffers~protobuf/upb/util/required_fields.c,protocolbuffers,protobuf,required_fields.c,C,233
./src/_00/output/C++/protocolbuffers~protobuf/python/unknown_fields.c,protocolbuffers,protobuf,unknown_fields.c,C,270
./src/_00/output/C++/protocolbuffers~protobuf/upb_generator/stage0/google/protobuf/compiler/plugin.upb.c,protocolbuffers,protobuf,plugin.upb.c,C,59
./src/_00/output/C++/protocolbuffers~protobuf/upb/lex/round_trip.c,protocolbuffers,protobuf,round_trip.c,C,37
./src/_00/output/C++/protocolbuffers~protobuf/upb/reflection/stage0/google/protobuf/descriptor.upb.c,protocolbuffers,protobuf,descriptor.upb.c,C,535
./src/_00/output/C++/protocolbuffers~protobuf/third_party/utf8_range/utf8_range.c,protocolbuffers,protobuf,utf8_range.c,C,132
./src/_00/output/C++/protocolbuffers~protobuf/upb/cmake/google/protobuf/descriptor.upb.c,protocolbuffers,protobuf,descriptor.upb.c,C,1229
./src/_00/output/C++/protocolbuffers~protobuf/ruby/ext/google/protobuf_c/repeated_field.c,protocolbuffers,protobuf,repeated_field.c,C,458
./src/_00/output/C++/protocolbuffers~protobuf/upb/reflection/service_def.c,protocolbuffers,protobuf,service_def.c,C,92
./src/_00/output/C++/protocolbuffers~protobuf/third_party/utf8_range/lemire-sse.c,protocolbuffers,protobuf,lemire-sse.c,C,139
./src/_00/output/C++/protocolbuffers~protobuf/php/ext/google/protobuf/names.c,protocolbuffers,protobuf,names.c,C,218
./src/_00/output/C++/protocolbuffers~protobuf/third_party/utf8_range/lookup.c,protocolbuffers,protobuf,lookup.c,C,27
./src/_00/output/C++/protocolbuffers~protobuf/upb/conformance/conformance_upb.c,protocolbuffers,protobuf,conformance_upb.c,C,280
./src/_00/output/C++/protocolbuffers~protobuf/upb/message/copy.c,protocolbuffers,protobuf,copy.c,C,287
./src/_00/output/C++/protocolbuffers~protobuf/upb/reflection/oneof_def.c,protocolbuffers,protobuf,oneof_def.c,C,160
./src/_00/output/C++/protocolbuffers~protobuf/csharp/compatibility_tests/v3.0.0/src/Google.Protobuf.Test/WellKnownTypes/TimestampTest.cs,protocolbuffers,protobuf,TimestampTest.cs,C#,74
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Conformance/Program.cs,protocolbuffers,protobuf,Program.cs,C#,170
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Test/CodedOutputStreamTest.cs,protocolbuffers,protobuf,CodedOutputStreamTest.cs,C#,437
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/OneofAccessor.cs,protocolbuffers,protobuf,OneofAccessor.cs,C#,42
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/WellKnownTypes/SourceContext.pb.cs,protocolbuffers,protobuf,SourceContext.pb.cs,C#,210
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/EnumDescriptor.cs,protocolbuffers,protobuf,EnumDescriptor.cs,C#,66
./src/_00/output/C++/protocolbuffers~protobuf/csharp/compatibility_tests/v3.0.0/src/Google.Protobuf.Test/Reflection/DescriptorsTest.cs,protocolbuffers,protobuf,DescriptorsTest.cs,C#,185
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/DescriptorBase.cs,protocolbuffers,protobuf,DescriptorBase.cs,C#,25
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/MethodDescriptor.cs,protocolbuffers,protobuf,MethodDescriptor.cs,C#,64
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Test/EqualityTester.cs,protocolbuffers,protobuf,EqualityTester.cs,C#,25
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Test/ParsingPrimitivesTest.cs,protocolbuffers,protobuf,ParsingPrimitivesTest.cs,C#,27
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/PackageDescriptor.cs,protocolbuffers,protobuf,PackageDescriptor.cs,C#,17
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/WellKnownTypes/FieldMask.pb.cs,protocolbuffers,protobuf,FieldMask.pb.cs,C#,198
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/WellKnownTypes/WrappersPartial.cs,protocolbuffers,protobuf,WrappersPartial.cs,C#,9
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/WellKnownTypes/TimeExtensions.cs,protocolbuffers,protobuf,TimeExtensions.cs,C#,21
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Test/SampleNaNs.cs,protocolbuffers,protobuf,SampleNaNs.cs,C#,14
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/DescriptorDeclaration.cs,protocolbuffers,protobuf,DescriptorDeclaration.cs,C#,34
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/ICustomDiagnosticMessage.cs,protocolbuffers,protobuf,ICustomDiagnosticMessage.cs,C#,9
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Test/Reflection/DescriptorsTest.cs,protocolbuffers,protobuf,DescriptorsTest.cs,C#,431
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf.Test.TestProtos/UnittestImportPublic.pb.cs,protocolbuffers,protobuf,UnittestImportPublic.pb.cs,C#,222
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/ParseContext.cs,protocolbuffers,protobuf,ParseContext.cs,C#,123
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/Google.Protobuf/Reflection/FileDescriptor.cs,protocolbuffers,protobuf,FileDescriptor.cs,C#,336
./src/_00/output/C++/protocolbuffers~protobuf/csharp/src/AddressBook/ListPeople.cs,protocolbuffers,protobuf,ListPeople.cs,C#,57
