path,owner,project,file,language,code
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/asm_generation/fuel/abstract_instruction_set.rs,FuelLabs,sway,abstract_instruction_set.rs,Rust,166
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/ty/declaration/declaration.rs,FuelLabs,sway,declaration.rs,Rust,801
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/purity.rs,FuelLabs,sway,purity.rs,Rust,38
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/capabilities/code_actions/constant_decl/mod.rs,FuelLabs,sway,mod.rs,Rust,10
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/semantic_analysis/ast_node/declaration/trait_fn.rs,FuelLabs,sway,trait_fn.rs,Rust,112
./src/_00/output/Rust/FuelLabs~sway/sway-parse/src/item/item_use.rs,FuelLabs,sway,item_use.rs,Rust,54
./src/_00/output/Rust/FuelLabs~sway/test/src/sdk-harness/test_projects/run_external_proxy/mod.rs,FuelLabs,sway,mod.rs,Rust,87
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/core/token_map_ext.rs,FuelLabs,sway,token_map_ext.rs,Rust,49
./src/_00/output/Rust/FuelLabs~sway/sway-ir/src/context.rs,FuelLabs,sway,context.rs,Rust,72
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/traverse/dependency.rs,FuelLabs,sway,dependency.rs,Rust,72
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/asm_generation/fuel/data_section.rs,FuelLabs,sway,data_section.rs,Rust,351
./src/_00/output/Rust/FuelLabs~sway/swayfmt/src/utils/map/newline.rs,FuelLabs,sway,newline.rs,Rust,365
./src/_00/output/Rust/FuelLabs~sway/swayfmt/src/utils/language/expr/mod.rs,FuelLabs,sway,mod.rs,Rust,1242
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/parsed/declaration/impl_trait.rs,FuelLabs,sway,impl_trait.rs,Rust,108
./src/_00/output/Rust/FuelLabs~sway/sway-parse/src/item/item_const.rs,FuelLabs,sway,item_const.rs,Rust,31
./src/_00/output/Rust/FuelLabs~sway/sway-ir/src/local_var.rs,FuelLabs,sway,local_var.rs,Rust,49
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/core/sync.rs,FuelLabs,sway,sync.rs,Rust,267
./src/_00/output/Rust/FuelLabs~sway/sway-parse/src/token.rs,FuelLabs,sway,token.rs,Rust,969
./src/_00/output/Rust/FuelLabs~sway/forc-plugins/forc-crypto/src/lib.rs,FuelLabs,sway,lib.rs,Rust,34
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/semantic_analysis/symbol_resolve.rs,FuelLabs,sway,symbol_resolve.rs,Rust,594
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/asm_generation/fuel/programs/abstract.rs,FuelLabs,sway,abstract.rs,Rust,324
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/literal.rs,FuelLabs,sway,literal.rs,Rust,152
./src/_00/output/Rust/FuelLabs~sway/sway-ir/src/analysis/dominator.rs,FuelLabs,sway,dominator.rs,Rust,233
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/ty/declaration/constant.rs,FuelLabs,sway,constant.rs,Rust,105
./src/_00/output/Rust/FuelLabs~sway/forc-plugins/forc-tx/src/lib.rs,FuelLabs,sway,lib.rs,Rust,870
./src/_00/output/Rust/FuelLabs~sway/sway-types/src/u256.rs,FuelLabs,sway,u256.rs,Rust,117
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/capabilities/hover/mod.rs,FuelLabs,sway,mod.rs,Rust,211
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/semantic_analysis/ast_node/expression/typed_expression/enum_instantiation.rs,FuelLabs,sway,enum_instantiation.rs,Rust,152
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/ty/expression/reassignment.rs,FuelLabs,sway,reassignment.rs,Rust,364
./src/_00/output/Rust/FuelLabs~sway/sway-ir/sway-ir-macros/src/lib.rs,FuelLabs,sway,lib.rs,Rust,207
./src/_00/output/Rust/FuelLabs~sway/forc/src/ops/forc_predicate_root.rs,FuelLabs,sway,forc_predicate_root.rs,Rust,48
./src/_00/output/Rust/FuelLabs~sway/test/src/sdk-harness/test_projects/contract_bytecode/mod.rs,FuelLabs,sway,mod.rs,Rust,37
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/traverse/parsed_tree.rs,FuelLabs,sway,parsed_tree.rs,Rust,1150
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/module.rs,FuelLabs,sway,module.rs,Rust,59
./src/_00/output/Rust/FuelLabs~sway/swayfmt/src/comments.rs,FuelLabs,sway,comments.rs,Rust,339
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/semantic_analysis/ast_node/expression/match_expression/analysis/match_pattern_variables.rs,FuelLabs,sway,match_pattern_variables.rs,Rust,133
./src/_00/output/Rust/FuelLabs~sway/sway-ir/src/optimize/sroa.rs,FuelLabs,sway,sroa.rs,Rust,430
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/server_state.rs,FuelLabs,sway,server_state.rs,Rust,409
./src/_00/output/Rust/FuelLabs~sway/swayfmt/src/utils/language/expr/assignable.rs,FuelLabs,sway,assignable.rs,Rust,126
./src/_00/output/Rust/FuelLabs~sway/forc/src/ops/forc_init.rs,FuelLabs,sway,forc_init.rs,Rust,148
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/capabilities/code_actions/abi_decl/mod.rs,FuelLabs,sway,mod.rs,Rust,12
./src/_00/output/Rust/FuelLabs~sway/forc/src/cli/commands/clean.rs,FuelLabs,sway,clean.rs,Rust,19
./src/_00/output/Rust/FuelLabs~sway/sway-ast/src/item/item_trait.rs,FuelLabs,sway,item_trait.rs,Rust,69
./src/_00/output/Rust/FuelLabs~sway/forc-plugins/forc-doc/src/tests/mod.rs,FuelLabs,sway,mod.rs,Rust,1
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/decl_engine/interface_decl_id.rs,FuelLabs,sway,interface_decl_id.rs,Rust,55
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/tests/utils/src/lib.rs,FuelLabs,sway,lib.rs,Rust,121
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/semantic_analysis/type_check_finalization.rs,FuelLabs,sway,type_check_finalization.rs,Rust,23
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/capabilities/code_actions/diagnostic/auto_import.rs,FuelLabs,sway,auto_import.rs,Rust,449
./src/_00/output/Rust/FuelLabs~sway/test/src/sdk-harness/test_projects/storage/mod.rs,FuelLabs,sway,mod.rs,Rust,200
./src/_00/output/Rust/FuelLabs~sway/sway-core/src/language/parsed/declaration/abi.rs,FuelLabs,sway,abi.rs,Rust,37
./src/_00/output/Rust/FuelLabs~sway/test/src/sdk-harness/test_projects/block/mod.rs,FuelLabs,sway,mod.rs,Rust,120
./src/_00/output/Rust/FuelLabs~sway/forc-pkg/src/source/ipfs.rs,FuelLabs,sway,ipfs.rs,Rust,199
./src/_00/output/Rust/FuelLabs~sway/swayfmt/src/utils/language/expr/struct_field.rs,FuelLabs,sway,struct_field.rs,Rust,86
./src/_00/output/Rust/FuelLabs~sway/sway-lsp/src/utils/mod.rs,FuelLabs,sway,mod.rs,Rust,6
