path|owner|project|file|language|code
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/grid/row.rs|alacritty|alacritty|row.rs|Rust|224
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/cursor.rs|alacritty|alacritty|cursor.rs|Rust|130
./src/_00/output/Rust/alacritty~alacritty/alacritty_config_derive/src/serde_replace.rs|alacritty|alacritty|serde_replace.rs|Rust|114
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/bindings.rs|alacritty|alacritty|bindings.rs|Rust|1122
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/display/hint.rs|alacritty|alacritty|hint.rs|Rust|491
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/color.rs|alacritty|alacritty|color.rs|Rust|235
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/grid/storage.rs|alacritty|alacritty|storage.rs|Rust|472
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/display/cursor.rs|alacritty|alacritty|cursor.rs|Rust|64
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/migrate/mod.rs|alacritty|alacritty|mod.rs|Rust|246
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/term/color.rs|alacritty|alacritty|color.rs|Rust|36
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/tty/windows/blocking.rs|alacritty|alacritty|blocking.rs|Rust|181
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/selection.rs|alacritty|alacritty|selection.rs|Rust|474
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/font.rs|alacritty|alacritty|font.rs|Rust|114
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/grid/mod.rs|alacritty|alacritty|mod.rs|Rust|412
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/mouse.rs|alacritty|alacritty|mouse.rs|Rust|24
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/ui_config.rs|alacritty|alacritty|ui_config.rs|Rust|516
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/macos/proc.rs|alacritty|alacritty|proc.rs|Rust|133
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/display/window.rs|alacritty|alacritty|window.rs|Rust|380
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/display/bell.rs|alacritty|alacritty|bell.rs|Rust|80
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/macos/locale.rs|alacritty|alacritty|locale.rs|Rust|49
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/scheduler.rs|alacritty|alacritty|scheduler.rs|Rust|70
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/serde_utils.rs|alacritty|alacritty|serde_utils.rs|Rust|70
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/panic.rs|alacritty|alacritty|panic.rs|Rust|20
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/ipc.rs|alacritty|alacritty|ipc.rs|Rust|125
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/renderer/text/gles2.rs|alacritty|alacritty|gles2.rs|Rust|372
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/input/mod.rs|alacritty|alacritty|mod.rs|Rust|1236
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/renderer/text/atlas.rs|alacritty|alacritty|atlas.rs|Rust|204
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/daemon.rs|alacritty|alacritty|daemon.rs|Rust|89
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/tty/windows/mod.rs|alacritty|alacritty|mod.rs|Rust|114
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/renderer/rects.rs|alacritty|alacritty|rects.rs|Rust|377
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/renderer/shader.rs|alacritty|alacritty|shader.rs|Rust|152
./src/_00/output/Rust/alacritty~alacritty/alacritty_terminal/src/sync.rs|alacritty|alacritty|sync.rs|Rust|23
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/scrolling.rs|alacritty|alacritty|scrolling.rs|Rust|41
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/config/debug.rs|alacritty|alacritty|debug.rs|Rust|34
./src/_00/output/Rust/alacritty~alacritty/alacritty/src/message_bar.rs|alacritty|alacritty|message_bar.rs|Rust|304
./src/_00/output/Rust/alacritty~alacritty/alacritty/build.rs|alacritty|alacritty|build.rs|Rust|31
