path,owner,project,file,language,code
./src/_00/output/Rust/starship~starship/src/configs/julia.rs,starship,starship,julia.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/opa.rs,starship,starship,opa.rs,Rust,95
./src/_00/output/Rust/starship~starship/src/configs/character.rs,starship,starship,character.rs,Rust,33
./src/_00/output/Rust/starship~starship/src/configs/daml.rs,starship,starship,daml.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/haxe.rs,starship,starship,haxe.rs,Rust,282
./src/_00/output/Rust/starship~starship/src/modules/gradle.rs,starship,starship,gradle.rs,Rust,209
./src/_00/output/Rust/starship~starship/src/configs/elixir.rs,starship,starship,elixir.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/vagrant.rs,starship,starship,vagrant.rs,Rust,87
./src/_00/output/Rust/starship~starship/src/modules/helm.rs,starship,starship,helm.rs,Rust,104
./src/_00/output/Rust/starship~starship/src/configs/c.rs,starship,starship,c.rs,Rust,38
./src/_00/output/Rust/starship~starship/src/configs/scala.rs,starship,starship,scala.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/openstack.rs,starship,starship,openstack.rs,Rust,146
./src/_00/output/Rust/starship~starship/src/context_env.rs,starship,starship,context_env.rs,Rust,38
./src/_00/output/Rust/starship~starship/src/modules/cmd_duration.rs,starship,starship,cmd_duration.rs,Rust,157
./src/_00/output/Rust/starship~starship/src/main.rs,starship,starship,main.rs,Rust,216
./src/_00/output/Rust/starship~starship/src/configs/time.rs,starship,starship,time.rs,Rust,31
./src/_00/output/Rust/starship~starship/src/configs/memory_usage.rs,starship,starship,memory_usage.rs,Rust,26
./src/_00/output/Rust/starship~starship/src/configs/quarto.rs,starship,starship,quarto.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/configs/lua.rs,starship,starship,lua.rs,Rust,34
./src/_00/output/Rust/starship~starship/src/modules/fennel.rs,starship,starship,fennel.rs,Rust,90
./src/_00/output/Rust/starship~starship/src/formatter/string_formatter.rs,starship,starship,string_formatter.rs,Rust,709
./src/_00/output/Rust/starship~starship/src/configs/haskell.rs,starship,starship,haskell.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/configs/dotnet.rs,starship,starship,dotnet.rs,Rust,40
./src/_00/output/Rust/starship~starship/src/modules/aws.rs,starship,starship,aws.rs,Rust,1023
./src/_00/output/Rust/starship~starship/src/configs/nodejs.rs,starship,starship,nodejs.rs,Rust,34
./src/_00/output/Rust/starship~starship/src/configs/shell.rs,starship,starship,shell.rs,Rust,47
./src/_00/output/Rust/starship~starship/src/configs/cmake.rs,starship,starship,cmake.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/buf.rs,starship,starship,buf.rs,Rust,107
./src/_00/output/Rust/starship~starship/src/modules/daml.rs,starship,starship,daml.rs,Rust,119
./src/_00/output/Rust/starship~starship/src/configs/container.rs,starship,starship,container.rs,Rust,24
./src/_00/output/Rust/starship~starship/src/configs/rlang.rs,starship,starship,rlang.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/typst.rs,starship,starship,typst.rs,Rust,83
./src/_00/output/Rust/starship~starship/src/configs/terraform.rs,starship,starship,terraform.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/configs/python.rs,starship,starship,python.rs,Rust,50
./src/_00/output/Rust/starship~starship/src/configs/helm.rs,starship,starship,helm.rs,Rust,32
./src/_00/output/Rust/starship~starship/src/modules/os.rs,starship,starship,os.rs,Rust,332
