path,owner,project,file,language,code
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Algorithms.swift,Carthage,Carthage,Algorithms.swift,Swift,42
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Cartfile.swift,Carthage,Carthage,Cartfile.swift,Swift,150
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Dependency.swift,Carthage,Carthage,Dependency.swift,Swift,162
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/RemoteVersion.swift,Carthage,Carthage,RemoteVersion.swift,Swift,15
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Formatting.swift,Carthage,Carthage,Formatting.swift,Swift,99
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Simulator.swift,Carthage,Carthage,Simulator.swift,Swift,90
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/main.swift,Carthage,Carthage,main.swift,Swift,33
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Version.swift,Carthage,Carthage,Version.swift,Swift,12
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/VersionFileSpec.swift,Carthage,Carthage,VersionFileSpec.swift,Swift,188
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/BuildSettings.swift,Carthage,Carthage,BuildSettings.swift,Swift,334
./src/_00/output/Swift/Carthage~Carthage/Tests/XCDBLDTests/BuildArgumentsSpec.swift,Carthage,Carthage,BuildArgumentsSpec.swift,Swift,79
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Build.swift,Carthage,Carthage,Build.swift,Swift,203
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Errors.swift,Carthage,Carthage,Errors.swift,Swift,263
./src/_00/output/Swift/Carthage~Carthage/Source/XCDBLD/MachOType.swift,Carthage,Carthage,MachOType.swift,Swift,8
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Netrc.swift,Carthage,Carthage,Netrc.swift,Swift,74
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Constants.swift,Carthage,Carthage,Constants.swift,Swift,64
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Fetch.swift,Carthage,Carthage,Fetch.swift,Swift,30
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/ProducerQueue.swift,Carthage,Carthage,ProducerQueue.swift,Swift,78
./src/_00/output/Swift/Carthage~Carthage/Source/XCDBLD/BuildArguments.swift,Carthage,Carthage,BuildArguments.swift,Swift,94
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/CopyFrameworks.swift,Carthage,Carthage,CopyFrameworks.swift,Swift,175
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/CartfileSpec.swift,Carthage,Carthage,CartfileSpec.swift,Swift,117
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/GitURL.swift,Carthage,Carthage,GitURL.swift,Swift,66
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Availability.swift,Carthage,Carthage,Availability.swift,Swift,4
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/ProxyTests.swift,Carthage,Carthage,ProxyTests.swift,Swift,94
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/MachHeader.swift,Carthage,Carthage,MachHeader.swift,Swift,108
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/GitHubSpec.swift,Carthage,Carthage,GitHubSpec.swift,Swift,32
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Bootstrap.swift,Carthage,Carthage,Bootstrap.swift,Swift,46
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/MachHeaderSpec.swift,Carthage,Carthage,MachHeaderSpec.swift,Swift,21
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/ResolverSpec.swift,Carthage,Carthage,ResolverSpec.swift,Swift,343
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/ValidateSpec.swift,Carthage,Carthage,ValidateSpec.swift,Swift,137
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/ProjectSpec.swift,Carthage,Carthage,ProjectSpec.swift,Swift,517
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/CartfileCommentsSpec.swift,Carthage,Carthage,CartfileCommentsSpec.swift,Swift,48
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/DependencySpec.swift,Carthage,Carthage,DependencySpec.swift,Swift,232
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/BinaryProject.swift,Carthage,Carthage,BinaryProject.swift,Swift,59
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/BinaryJSONError.swift,Carthage,Carthage,BinaryJSONError.swift,Swift,37
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/DuplicateDependency.swift,Carthage,Carthage,DuplicateDependency.swift,Swift,41
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/RemoteVersion.swift,Carthage,Carthage,RemoteVersion.swift,Swift,14
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Validate.swift,Carthage,Carthage,Validate.swift,Swift,18
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Submodule.swift,Carthage,Carthage,Submodule.swift,Swift,17
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/SimulatorSpec.swift,Carthage,Carthage,SimulatorSpec.swift,Swift,226
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/XcodeSpec.swift,Carthage,Carthage,XcodeSpec.swift,Swift,428
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Resolver.swift,Carthage,Carthage,Resolver.swift,Swift,347
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/ArchiveSpec.swift,Carthage,Carthage,ArchiveSpec.swift,Swift,82
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/GitHub.swift,Carthage,Carthage,GitHub.swift,Swift,120
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/AlgorithmsSpec.swift,Carthage,Carthage,AlgorithmsSpec.swift,Swift,105
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Extensions.swift,Carthage,Carthage,Extensions.swift,Swift,93
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Version.swift,Carthage,Carthage,Version.swift,Swift,415
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Archive.swift,Carthage,Carthage,Archive.swift,Swift,128
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/ScannableError.swift,Carthage,Carthage,ScannableError.swift,Swift,13
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/Archive.swift,Carthage,Carthage,Archive.swift,Swift,51
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/BinaryProjectSpec.swift,Carthage,Carthage,BinaryProjectSpec.swift,Swift,75
./src/_00/output/Swift/Carthage~Carthage/Tests/XCDBLDTests/SDKSpec.swift,Carthage,Carthage,SDKSpec.swift,Swift,33
./src/_00/output/Swift/Carthage~Carthage/Source/XCDBLD/XcodeVersion.swift,Carthage,Carthage,XcodeVersion.swift,Swift,39
./src/_00/output/Swift/Carthage~Carthage/Source/carthage/Checkout.swift,Carthage,Carthage,Checkout.swift,Swift,57
./src/_00/output/Swift/Carthage~Carthage/Tests/CarthageKitTests/VersionSpec.swift,Carthage,Carthage,VersionSpec.swift,Swift,233
./src/_00/output/Swift/Carthage~Carthage/Source/CarthageKit/BundleExtensions.swift,Carthage,Carthage,BundleExtensions.swift,Swift,7
