path|owner|project|file|language|code
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/ripple-effect/ripple-effect.tsx|ionic-team|ionic-framework|ripple-effect.tsx|TypeScript|77
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/select/select-interface.ts|ionic-team|ionic-framework|select-interface.ts|TypeScript|9
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/range/test/states/range.e2e.ts|ionic-team|ionic-framework|range.e2e.ts|TypeScript|62
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/loading/test/is-open/loading.e2e.ts|ionic-team|ionic-framework|loading.e2e.ts|TypeScript|22
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/skeleton-text/test/basic/skeleton-text.e2e.ts|ionic-team|ionic-framework|skeleton-text.e2e.ts|TypeScript|11
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/progress-bar/test/determinate/progress-bar.e2e.ts|ionic-team|ionic-framework|progress-bar.e2e.ts|TypeScript|20
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/rtl/dir.ts|ionic-team|ionic-framework|dir.ts|TypeScript|8
./src/_00/output/TypeScript/ionic-team~ionic-framework/packages/react/src/components/index.ts|ionic-team|ionic-framework|index.ts|TypeScript|126
./src/_00/output/TypeScript/ionic-team~ionic-framework/packages/angular/standalone/src/directives/checkbox.ts|ionic-team|ionic-framework|checkbox.ts|TypeScript|66
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/fab/test/custom-size/fab.e2e.ts|ionic-team|ionic-framework|fab.e2e.ts|TypeScript|11
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/note/test/basic/note.e2e.ts|ionic-team|ionic-framework|note.e2e.ts|TypeScript|84
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/router/test/guards/router.e2e.ts|ionic-team|ionic-framework|router.e2e.ts|TypeScript|10
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/transition/index.ts|ionic-team|ionic-framework|index.ts|TypeScript|214
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/test/playwright/viewports/index.ts|ionic-team|ionic-framework|index.ts|TypeScript|16
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/title/title.tsx|ionic-team|ionic-framework|title.tsx|TypeScript|52
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/header/header.utils.ts|ionic-team|ionic-framework|header.utils.ts|TypeScript|161
./src/_00/output/TypeScript/ionic-team~ionic-framework/packages/vue/src/components/IonTabBar.ts|ionic-team|ionic-framework|IonTabBar.ts|TypeScript|180
./src/_00/output/TypeScript/ionic-team~ionic-framework/packages/vue/types/proxies.d.ts|ionic-team|ionic-framework|proxies.d.ts|TypeScript|84
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/overlays-interface.ts|ionic-team|ionic-framework|overlays-interface.ts|TypeScript|42
./src/_00/output/TypeScript/ionic-team~ionic-framework/packages/react-router/test/base/src/pages/routing/Tab1.tsx|ionic-team|ionic-framework|Tab1.tsx|TypeScript|73
./src/_00/output/TypeScript/ionic-team~ionic-framework/packages/angular/test/base/src/app/lazy/alert/alert.component.ts|ionic-team|ionic-framework|alert.component.ts|TypeScript|34
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/datetime/test/disable-dates/datetime.e2e.ts|ionic-team|ionic-framework|datetime.e2e.ts|TypeScript|138
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/theme.ts|ionic-team|ionic-framework|theme.ts|TypeScript|47
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/fab/test/translucent/fab.e2e.ts|ionic-team|ionic-framework|fab.e2e.ts|TypeScript|17
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/test/overlays/overlays.spec.ts|ionic-team|ionic-framework|overlays.spec.ts|TypeScript|200
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/back-button/back-button.tsx|ionic-team|ionic-framework|back-button.tsx|TypeScript|118
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/radio-group/test/form/radio-group.e2e.ts|ionic-team|ionic-framework|radio-group.e2e.ts|TypeScript|56
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/jest.d.ts|ionic-team|ionic-framework|jest.d.ts|TypeScript|5
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/searchbar/searchbar.tsx|ionic-team|ionic-framework|searchbar.tsx|TypeScript|385
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/config.ts|ionic-team|ionic-framework|config.ts|TypeScript|85
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/utils/test/playwright/generator.ts|ionic-team|ionic-framework|generator.ts|TypeScript|63
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/tab-bar/tab-bar.tsx|ionic-team|ionic-framework|tab-bar.tsx|TypeScript|71
./src/_00/output/TypeScript/ionic-team~ionic-framework/core/src/components/checkbox/test/basic/checkbox.e2e.ts|ionic-team|ionic-framework|checkbox.e2e.ts|TypeScript|104
