path,owner,project,file,language,code
./src/_00/output/TypeScript/nocodb~nocodb/packages/noco-docs/docusaurus.config.js,nocodb,nocodb,docusaurus.config.js,JavaScript,169
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/build-utils/resolveTsAliases.js,nocodb,nocodb,resolveTsAliases.js,JavaScript,14
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/public/js/vuetify.2.x.min.js,nocodb,nocodb,vuetify.2.x.min.js,JavaScript,1
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/db/sql-data-mapper/__tests__/models/city.model.js,nocodb,nocodb,city.model.js,JavaScript,14
./src/_00/output/TypeScript/nocodb~nocodb/scripts/bumpNocodbSdkVersion.js,nocodb,nocodb,bumpNocodbSdkVersion.js,JavaScript,10
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/assets/js/typesense-docsearch.js,nocodb,nocodb,typesense-docsearch.js,JavaScript,4
./src/_00/output/TypeScript/nocodb~nocodb/scripts/bumpNcGuiVersion.js,nocodb,nocodb,bumpNcGuiVersion.js,JavaScript,10
./src/_00/output/TypeScript/nocodb~nocodb/scripts/updateCliVersion.js,nocodb,nocodb,updateCliVersion.js,JavaScript,10
./src/_00/output/TypeScript/nocodb~nocodb/scripts/pkg-executable/index.js,nocodb,nocodb,index.js,JavaScript,13
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/rspack.timely.config.js,nocodb,nocodb,rspack.timely.config.js,JavaScript,95
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/.prettierrc.js,nocodb,nocodb,.prettierrc.js,JavaScript,7
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/db/sql-data-mapper/__tests__/models/film.model.js,nocodb,nocodb,film.model.js,JavaScript,13
./src/_00/output/TypeScript/nocodb~nocodb/scripts/installLocalSdk.js,nocodb,nocodb,installLocalSdk.js,JavaScript,37
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/models/Job.ts,nocodb,nocodb,Job.ts,TypeScript,119
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Dashboard/common/Toolbar/Filter.ts,nocodb,nocodb,Filter.ts,TypeScript,421
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-cli/src/lib/mgr/NewMgr.ts,nocodb,nocodb,NewMgr.ts,TypeScript,661
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/helpers/extractLimitAndOffset.ts,nocodb,nocodb,extractLimitAndOffset.ts,TypeScript,39
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/integrations/integrations.ts,nocodb,nocodb,integrations.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/plugins/upcloud/index.ts,nocodb,nocodb,index.ts,TypeScript,76
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/api-docs/api-docs.service.spec.ts,nocodb,nocodb,api-docs.service.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb-sdk/src/lib/aggregationHelper.ts,nocodb,nocodb,aggregationHelper.ts,TypeScript,123
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/disabledTests/docs/tiptapTable.spec.ts,nocodb,nocodb,tiptapTable.spec.ts,TypeScript,301
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/data-table.controller.spec.ts,nocodb,nocodb,data-table.controller.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/disabledTests/docs/tabs.spec.ts,nocodb,nocodb,tabs.spec.ts,TypeScript,107
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/types/nc-plugin/lib/IEmailAdapter.ts,nocodb,nocodb,IEmailAdapter.ts,TypeScript,12
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/meta/migrations/v2/nc_062_integration_store.ts,nocodb,nocodb,nc_062_integration_store.ts,TypeScript,27
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/helpers/getColumnPropsFromUIDT.ts,nocodb,nocodb,getColumnPropsFromUIDT.ts,TypeScript,48
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb-sdk/src/lib/TemplateGenerator.ts,nocodb,nocodb,TemplateGenerator.ts,TypeScript,28
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/strategies/jwt.strategy.ts,nocodb,nocodb,jwt.strategy.ts,TypeScript,32
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/store/notification.ts,nocodb,nocodb,notification.ts,TypeScript,186
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/composables/useTable.ts,nocodb,nocodb,useTable.ts,TypeScript,140
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/composables/useViewData.ts,nocodb,nocodb,useViewData.ts,TypeScript,325
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/tests/db/views/viewMap.spec.ts,nocodb,nocodb,viewMap.spec.ts,TypeScript,70
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/modules/jobs/jobs/meta-sync/meta-sync.processor.ts,nocodb,nocodb,meta-sync.processor.ts,TypeScript,34
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/middlewares/global/global.middleware.ts,nocodb,nocodb,global.middleware.ts,TypeScript,22
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/utils/common/helpers/addErrorOnColumnDeleteInFormula.ts,nocodb,nocodb,addErrorOnColumnDeleteInFormula.ts,TypeScript,33
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/form-columns.service.spec.ts,nocodb,nocodb,form-columns.service.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/db/util/file.help.ts,nocodb,nocodb,file.help.ts,TypeScript,11
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Dashboard/QrCodeOverlay/index.ts,nocodb,nocodb,index.ts,TypeScript,23
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/helpers/populateMeta.ts,nocodb,nocodb,populateMeta.ts,TypeScript,504
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/composables/useSharedFormViewStore.ts,nocodb,nocodb,useSharedFormViewStore.ts,TypeScript,690
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/plugins/r2/index.ts,nocodb,nocodb,index.ts,TypeScript,68
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/composables/useApi/interceptors.ts,nocodb,nocodb,interceptors.ts,TypeScript,86
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/tests/db/columns/columnMultiSelect.spec.ts,nocodb,nocodb,columnMultiSelect.spec.ts,TypeScript,251
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/utils/aliasUtils.ts,nocodb,nocodb,aliasUtils.ts,TypeScript,25
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/tests/unit/factory/widget.ts,nocodb,nocodb,widget.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/api-tokens.service.ts,nocodb,nocodb,api-tokens.service.ts,TypeScript,50
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/tests/unit/rest/tests/widget.test.ts,nocodb,nocodb,widget.test.ts,TypeScript,90
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/sync.controller.ts,nocodb,nocodb,sync.controller.ts,TypeScript,89
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/modules/auth/auth.module.ts,nocodb,nocodb,auth.module.ts,TypeScript,27
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/helpers/parsers/CSVTemplateAdapter.ts,nocodb,nocodb,CSVTemplateAdapter.ts,TypeScript,297
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/utils/is.ts,nocodb,nocodb,is.ts,TypeScript,40
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/utils/roleHelper.ts,nocodb,nocodb,roleHelper.ts,TypeScript,23
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb-sdk/src/lib/sqlUi/SnowflakeUi.ts,nocodb,nocodb,SnowflakeUi.ts,TypeScript,825
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/tests/db/general/megaTable.spec.ts,nocodb,nocodb,megaTable.spec.ts,TypeScript,188
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/Upgrader.ts,nocodb,nocodb,Upgrader.ts,TypeScript,325
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/strategies/local.strategy.spec.ts,nocodb,nocodb,local.strategy.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/context/index.ts,nocodb,nocodb,index.ts,TypeScript,83
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/helpers/migrationJobs.ts,nocodb,nocodb,migrationJobs.ts,TypeScript,108
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/utils/columnUtils.ts,nocodb,nocodb,columnUtils.ts,TypeScript,405
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/plugins/gcs/index.ts,nocodb,nocodb,index.ts,TypeScript,74
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/OrgAdmin/SSO.ts,nocodb,nocodb,SSO.ts,TypeScript,154
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/composables/useAttachmentIcon.ts,nocodb,nocodb,useAttachmentIcon.ts,TypeScript,32
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/helpers/getHandler.ts,nocodb,nocodb,getHandler.ts,TypeScript,29
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/modules/jobs/migration-jobs/nc_job_002_thumbnail.ts,nocodb,nocodb,nc_job_002_thumbnail.ts,TypeScript,281
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/utils/generateName.ts,nocodb,nocodb,generateName.ts,TypeScript,27
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Dashboard/Grid/Row.ts,nocodb,nocodb,Row.ts,TypeScript,20
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/galleries.service.spec.ts,nocodb,nocodb,galleries.service.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/meta-diffs.controller.spec.ts,nocodb,nocodb,meta-diffs.controller.spec.ts,TypeScript,17
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/maps.service.ts,nocodb,nocodb,maps.service.ts,TypeScript,78
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/utils/formValidations.ts,nocodb,nocodb,formValidations.ts,TypeScript,132
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Account/Settings.ts,nocodb,nocodb,Settings.ts,TypeScript,39
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/components/cell/attachment/utils.ts,nocodb,nocodb,utils.ts,TypeScript,362
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/utils/dataUtils.ts,nocodb,nocodb,dataUtils.ts,TypeScript,399
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/sorts.controller.ts,nocodb,nocodb,sorts.controller.ts,TypeScript,98
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/db/sql-data-mapper/lib/BaseModel.ts,nocodb,nocodb,BaseModel.ts,TypeScript,805
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/lib/form.ts,nocodb,nocodb,form.ts,TypeScript,404
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/utils/getInstance.ts,nocodb,nocodb,getInstance.ts,TypeScript,68
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Dashboard/common/Toolbar/CalendarRange.ts,nocodb,nocodb,CalendarRange.ts,TypeScript,36
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/public-datas-export.service.ts,nocodb,nocodb,public-datas-export.service.ts,TypeScript,3
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/types/nc-plugin/lib/IStorageAdapter.ts,nocodb,nocodb,IStorageAdapter.ts,TypeScript,14
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/helpers/parsers/ExcelTemplateAdapter.ts,nocodb,nocodb,ExcelTemplateAdapter.ts,TypeScript,252
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/meta/migrations/v2/nc_022_qr_code_column_type.ts,nocodb,nocodb,nc_022_qr_code_column_type.ts,TypeScript,20
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb-sdk/src/lib/mergeSwaggerSchema.ts,nocodb,nocodb,mergeSwaggerSchema.ts,TypeScript,22
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Dashboard/ShareProjectButton/index.ts,nocodb,nocodb,index.ts,TypeScript,138
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/utils/common/NcConnectionMgrv2.ts,nocodb,nocodb,NcConnectionMgrv2.ts,TypeScript,100
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/tests/db/features/expandedFormUrl.spec.ts,nocodb,nocodb,expandedFormUrl.spec.ts,TypeScript,123
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/jobs-meta.service.spec.ts,nocodb,nocodb,jobs-meta.service.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/strategies/authtoken.strategy/authtoken.strategy.spec.ts,nocodb,nocodb,authtoken.strategy.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/grid-columns.controller.spec.ts,nocodb,nocodb,grid-columns.controller.spec.ts,TypeScript,17
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/data-alias-export.controller.spec.ts,nocodb,nocodb,data-alias-export.controller.spec.ts,TypeScript,17
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/modules/auth/ui/auth/resetPassword.ts,nocodb,nocodb,resetPassword.ts,TypeScript,101
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/modules/jobs/jobs-event.service.ts,nocodb,nocodb,jobs-event.service.ts,TypeScript,171
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/db/sql-client/lib/mysql/findDataTypeMapping.ts,nocodb,nocodb,findDataTypeMapping.ts,TypeScript,64
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/controllers/sql-views.controller.spec.ts,nocodb,nocodb,sql-views.controller.spec.ts,TypeScript,15
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/tests/db/general/tableColumnOperation.spec.ts,nocodb,nocodb,tableColumnOperation.spec.ts,TypeScript,62
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/api-docs/swaggerV2/getSwaggerColumnMetas.ts,nocodb,nocodb,getSwaggerColumnMetas.ts,TypeScript,74
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/plugins/discord/DiscordPlugin.ts,nocodb,nocodb,DiscordPlugin.ts,TypeScript,14
./src/_00/output/TypeScript/nocodb~nocodb/tests/playwright/pages/Dashboard/Command/CmdKPage.ts,nocodb,nocodb,CmdKPage.ts,TypeScript,29
./src/_00/output/TypeScript/nocodb~nocodb/packages/nc-gui/composables/useColumnCreateStore.ts,nocodb,nocodb,useColumnCreateStore.ts,TypeScript,391
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/tests/unit/rest/tests/aggregation.test.ts,nocodb,nocodb,aggregation.test.ts,TypeScript,359
./src/_00/output/TypeScript/nocodb~nocodb/packages/nocodb/src/services/forms.service.ts,nocodb,nocodb,forms.service.ts,TypeScript,92
