repo_path,path,original_path
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFHTTPRequestOperation.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFHTTPRequestOperation.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFHTTPRequestOperationManager.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFHTTPRequestOperationManager.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFHTTPSessionManager.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFHTTPSessionManager.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFImageRequestOperation.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFImageRequestOperation.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFJSONRequestOperation.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFJSONRequestOperation.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFNetworkActivityIndicatorManager.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFNetworkActivityIndicatorManager.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFNetworkReachabilityManager.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFNetworkReachabilityManager.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/Target Support Files/AFNetworking/AFNetworking-dummy.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/Target Support Files/AFNetworking/AFNetworking-dummy.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFPropertyListRequestOperation.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFPropertyListRequestOperation.m
Ruby/CocoaPods~CocoaPods,install_subspecs_no_duplicate_prefix/after/Pods/Test/AFRaptureXMLRequestOperation/AFRaptureXMLRequestOperation.m,spec/cocoapods-integration-specs/install_subspecs_no_duplicate_prefix/after/Pods/Test/AFRaptureXMLRequestOperation/AFRaptureXMLRequestOperation.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFSecurityPolicy.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFSecurityPolicy.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFURLConnectionOperation.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFURLConnectionOperation.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFURLRequestSerialization.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFURLRequestSerialization.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFURLResponseSerialization.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFURLResponseSerialization.m
Ruby/CocoaPods~CocoaPods,install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFURLSessionManager.m,spec/cocoapods-integration-specs/install_using_checkout_options/after/Pods/AFNetworking/AFNetworking/AFURLSessionManager.m
Ruby/CocoaPods~CocoaPods,outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFXMLRequestOperation.m,spec/cocoapods-integration-specs/outdated_multiple_specs/before/Pods/AFNetworking/AFNetworking/AFXMLRequestOperation.m
Ruby/CocoaPods~CocoaPods,install_search_paths_inheritance/before/sharedlib/Classes/Core/AmazingModel.m,spec/cocoapods-integration-specs/install_search_paths_inheritance/before/sharedlib/Classes/Core/AmazingModel.m
Ruby/CocoaPods~CocoaPods,install_vendored_xcframework/after/Pods/Target Support Files/BananaLib/BananaLib-dummy.m,spec/cocoapods-integration-specs/install_vendored_xcframework/after/Pods/Target Support Files/BananaLib/BananaLib-dummy.m
Ruby/CocoaPods~CocoaPods,install_static_swift_modules/before/CustomModuleMapPod/src/CMM.m,spec/cocoapods-integration-specs/install_static_swift_modules/before/CustomModuleMapPod/src/CMM.m
Ruby/CocoaPods~CocoaPods,install_search_paths_inheritance/after/Pods/Target Support Files/CocoaLumberjack/CocoaLumberjack-dummy.m,spec/cocoapods-integration-specs/install_search_paths_inheritance/after/Pods/Target Support Files/CocoaLumberjack/CocoaLumberjack-dummy.m
